User_ID,Gender,Age_Group,Region,Subscription_Type,Subscription_Start_Date,Subscription_End_Date,Device_Type,Engagement_Level
U0062,Female,26-35,West,Free Trial,07/04/2023,02/01/2024,Smart TV,High
U0063,Female,50+,Central,Premium,09/10/2025,08/08/2026,Smart TV,High
U0064,Other,18-25,North,Premium,23/10/2022,12/05/2023,Laptop,High
U0065,Other,18-25,East,Basic,07/09/2024,08/12/2024,Laptop,High
U0066,Male,26-35,Central,Basic,05/10/2023,22/03/2024,Mobile,Low
U0067,Female,50+,North,Premium,05/07/2022,19/12/2022,Mobile,High
U0068,Other,36-50,North,Free Trial,20/07/2024,04/06/2025,Tablet,Low
U0069,Female,26-35,Central,Premium,22/11/2022,22/05/2023,Laptop,Low
U0070,Other,26-35,West,Free Trial,23/07/2025,18/05/2026,Tablet,Low
U0071,Other,18-25,Central,Basic,04/07/2023,22/05/2024,Tablet,Low
U0072,Female,26-35,North,Basic,17/02/2022,01/02/2023,Mobile,Low
U0073,Male,36-50,West,Basic,07/06/2023,26/05/2024,Tablet,High
U0074,Female,18-25,Central,Premium,25/08/2024,13/04/2025,Mobile,High
U0075,Female,50+,Central,Free Trial,06/04/2025,04/02/2026,Laptop,Low
U0076,Other,26-35,West,Premium,21/08/2024,04/08/2025,Mobile,High
U0077,Male,36-50,North,Basic,25/08/2022,21/05/2023,Mobile,Low
U0078,Male,18-25,South,Basic,16/01/2025,23/05/2025,Smart TV,Medium
U0079,Female,26-35,Central,Premium,16/03/2023,15/07/2023,Smart TV,Medium
U0080,Male,50+,South,Free Trial,07/11/2025,21/05/2026,Smart TV,Medium
U0081,Male,50+,East,Premium,26/12/2024,14/12/2025,Laptop,Medium
U0082,Other,26-35,South,Free Trial,05/06/2023,10/12/2023,Smart TV,Medium
U0083,Male,18-25,Central,Free Trial,21/03/2023,06/10/2023,Smart TV,Low
U0084,Male,50+,East,Free Trial,02/10/2022,05/04/2023,Mobile,Low
U0085,Other,18-25,West,Basic,29/09/2023,12/07/2024,Laptop,Medium
U0086,Female,18-25,Central,Premium,24/01/2022,15/09/2022,Laptop,Medium
U0087,Female,18-25,Central,Basic,11/07/2022,21/05/2023,Mobile,Low
U0088,Female,50+,West,Basic,13/05/2023,28/12/2023,Tablet,Low
U0089,Other,26-35,Central,Free Trial,09/02/2025,08/01/2026,Tablet,Low
U0090,Other,26-35,South,Free Trial,05/01/2023,24/07/2023,Laptop,High
U0091,Male,50+,West,Premium,12/04/2022,01/10/2022,Tablet,Low
U0092,Other,26-35,East,Free Trial,05/03/2023,28/11/2023,Smart TV,Low
U0093,Male,26-35,North,Free Trial,09/09/2022,05/03/2023,Mobile,High
U0094,Male,26-35,Central,Free Trial,30/08/2025,27/07/2026,Tablet,Low
U0095,Female,50+,Central,Free Trial,06/12/2025,17/06/2026,Mobile,Low
U0096,Female,18-25,North,Premium,15/03/2022,26/12/2022,Mobile,Low
U0097,Female,36-50,Central,Premium,04/11/2024,21/08/2025,Tablet,High
U0098,Female,36-50,West,Basic,03/09/2023,16/12/2023,Tablet,High
U0099,Male,36-50,Central,Free Trial,29/02/2024,14/07/2024,Smart TV,High
U0100,Female,18-25,South,Free Trial,08/10/2024,30/03/2025,Tablet,Low
U0101,Female,18-25,East,Basic,13/01/2022,13/08/2022,Smart TV,Medium
U0102,Other,36-50,Central,Free Trial,16/11/2022,15/06/2023,Mobile,Low
U0103,Other,26-35,North,Free Trial,07/04/2025,25/07/2025,Smart TV,High
U0104,Female,50+,West,Free Trial,11/01/2024,04/06/2024,Tablet,Medium
U0105,Female,50+,Central,Premium,18/09/2022,05/07/2023,Mobile,Medium
U0106,Other,18-25,Central,Basic,18/11/2025,01/03/2026,Laptop,Medium
U0107,Male,50+,North,Free Trial,15/01/2024,08/11/2024,Mobile,Low
U0108,Female,18-25,North,Premium,11/01/2025,22/05/2025,Smart TV,Low
U0109,Other,50+,West,Basic,10/01/2025,18/04/2025,Smart TV,Medium
U0110,Other,50+,South,Premium,16/07/2024,30/05/2025,Smart TV,Medium
U0111,Male,36-50,South,Basic,24/12/2025,27/08/2026,Smart TV,High
U0112,Female,18-25,South,Premium,16/07/2024,03/05/2025,Mobile,Medium
U0113,Other,50+,South,Premium,28/11/2025,11/03/2026,Tablet,Medium
U0114,Male,36-50,Central,Basic,15/01/2023,17/04/2023,Tablet,High
U0115,Other,18-25,East,Free Trial,23/02/2022,12/01/2023,Mobile,Low
U0116,Male,36-50,Central,Basic,27/01/2025,11/05/2025,Smart TV,Medium
U0117,Other,26-35,East,Free Trial,06/11/2024,14/03/2025,Smart TV,High
U0118,Male,50+,South,Premium,18/09/2022,24/01/2023,Tablet,Medium
U0119,Other,26-35,South,Premium,18/05/2023,17/10/2023,Tablet,Low
U0120,Male,26-35,East,Premium,25/10/2025,02/07/2026,Mobile,Medium
U0121,Male,36-50,East,Free Trial,24/11/2023,24/09/2024,Tablet,High
U0122,Female,26-35,West,Free Trial,23/07/2022,29/04/2023,Smart TV,High
U0123,Male,36-50,North,Basic,05/08/2022,14/11/2022,Mobile,Low
U0124,Male,26-35,South,Premium,13/10/2023,11/03/2024,Smart TV,Medium
U0125,Other,36-50,North,Free Trial,11/12/2023,08/11/2024,Mobile,Low
U0126,Male,50+,East,Free Trial,06/10/2022,14/07/2023,Laptop,Medium
U0127,Other,36-50,Central,Free Trial,20/03/2022,29/07/2022,Laptop,Low
U0128,Male,36-50,Central,Free Trial,23/09/2023,03/04/2024,Laptop,Medium
U0129,Female,36-50,West,Premium,03/04/2023,26/08/2023,Mobile,High
U0130,Female,26-35,Central,Free Trial,08/04/2022,23/01/2023,Mobile,Low
U0131,Other,26-35,West,Premium,30/06/2023,19/05/2024,Smart TV,Low
U0132,Male,36-50,Central,Premium,11/03/2023,17/07/2023,Smart TV,Low
U0133,Male,18-25,West,Premium,26/08/2024,20/02/2025,Mobile,High
U0134,Other,26-35,East,Premium,13/01/2023,11/01/2024,Smart TV,Low
U0135,Male,18-25,South,Basic,19/10/2023,08/10/2024,Tablet,Medium
U0136,Male,36-50,West,Basic,13/01/2022,26/07/2022,Smart TV,Medium
U0137,Other,26-35,East,Basic,24/03/2023,15/12/2023,Mobile,High
U0138,Female,18-25,South,Premium,20/09/2024,28/05/2025,Tablet,Low
U0139,Other,26-35,North,Basic,26/11/2024,05/10/2025,Mobile,Medium
U0140,Female,50+,North,Free Trial,24/06/2025,31/05/2026,Mobile,High
U0141,Male,36-50,North,Basic,03/05/2022,05/11/2022,Laptop,Low
U0142,Female,18-25,East,Basic,26/04/2022,05/01/2023,Tablet,Medium
U0143,Male,18-25,East,Basic,11/04/2024,15/01/2025,Smart TV,Low
U0144,Other,36-50,East,Free Trial,07/07/2022,20/02/2023,Tablet,Low
U0145,Female,18-25,South,Free Trial,23/12/2023,12/10/2024,Laptop,High
U0146,Male,26-35,North,Basic,04/01/2022,11/12/2022,Mobile,Medium
U0147,Female,36-50,North,Premium,19/01/2022,17/12/2022,Smart TV,High
U0148,Male,18-25,East,Premium,08/06/2024,24/10/2024,Tablet,Medium
U0149,Female,26-35,Central,Premium,25/08/2024,30/06/2025,Smart TV,High
U0150,Male,36-50,South,Premium,14/07/2022,17/01/2023,Mobile,Low
U0151,Other,18-25,East,Basic,02/02/2024,24/09/2024,Smart TV,High
U0152,Other,18-25,West,Basic,03/10/2022,03/02/2023,Tablet,Low
U0153,Other,50+,North,Free Trial,01/03/2023,19/10/2023,Tablet,High
U0154,Male,36-50,East,Free Trial,18/09/2023,18/05/2024,Laptop,Medium
U0155,Male,18-25,West,Free Trial,21/12/2023,11/05/2024,Smart TV,High
U0156,Other,18-25,North,Premium,19/02/2023,06/07/2023,Tablet,Low
U0157,Female,36-50,Central,Free Trial,10/02/2023,18/08/2023,Tablet,Low
U0158,Other,36-50,East,Free Trial,04/10/2024,02/03/2025,Mobile,Low
U0159,Male,26-35,North,Premium,17/05/2025,03/11/2025,Mobile,Medium
U0160,Male,36-50,North,Basic,28/12/2023,31/07/2024,Smart TV,Low
U0161,Other,18-25,South,Premium,14/04/2024,09/10/2024,Mobile,Low
U0162,Male,50+,West,Premium,17/06/2025,13/02/2026,Smart TV,High
U0163,Female,50+,South,Basic,28/04/2024,04/01/2025,Mobile,High
U0164,Other,18-25,Central,Basic,13/07/2022,14/04/2023,Mobile,Medium
U0165,Male,50+,West,Free Trial,07/02/2023,02/01/2024,Tablet,High
U0166,Male,18-25,South,Basic,02/11/2024,03/06/2025,Laptop,Medium
U0167,Other,36-50,Central,Basic,05/08/2022,15/04/2023,Tablet,Medium
U0168,Male,50+,West,Basic,15/04/2022,11/12/2022,Laptop,High
U0169,Other,36-50,North,Basic,08/08/2022,24/01/2023,Laptop,Low
U0170,Other,18-25,East,Premium,25/07/2023,28/11/2023,Laptop,Medium
U0171,Female,18-25,North,Basic,22/10/2025,09/08/2026,Tablet,Low
U0172,Other,26-35,West,Premium,27/05/2025,26/08/2025,Mobile,High
U0173,Other,50+,West,Basic,28/05/2022,28/03/2023,Laptop,Medium
U0174,Other,36-50,Central,Free Trial,07/04/2025,29/11/2025,Smart TV,Medium
U0175,Other,50+,Central,Basic,01/07/2025,29/12/2025,Mobile,High
U0176,Other,36-50,West,Free Trial,13/09/2023,24/08/2024,Smart TV,High
U0177,Other,18-25,West,Premium,17/02/2025,17/12/2025,Mobile,Low
U0178,Female,36-50,Central,Basic,15/07/2024,25/10/2024,Laptop,Low
U0179,Male,26-35,South,Free Trial,23/09/2023,19/09/2024,Tablet,High
U0180,Male,50+,North,Premium,01/09/2025,31/12/2025,Mobile,High
U0181,Female,18-25,South,Basic,05/05/2022,21/01/2023,Laptop,High
U0182,Female,36-50,East,Basic,23/12/2023,14/10/2024,Tablet,Medium
U0183,Female,26-35,West,Basic,05/02/2022,20/06/2022,Smart TV,Low
U0184,Male,50+,East,Basic,06/03/2023,31/08/2023,Laptop,High
U0185,Female,36-50,East,Basic,24/01/2023,05/12/2023,Smart TV,Low
U0186,Male,50+,North,Premium,11/09/2023,17/06/2024,Laptop,Low
U0187,Male,50+,Central,Basic,21/10/2022,12/08/2023,Mobile,Low
U0188,Other,50+,North,Basic,02/07/2025,06/11/2025,Mobile,Medium
U0189,Female,18-25,East,Basic,17/04/2023,04/11/2023,Tablet,High
U0190,Male,18-25,Central,Premium,02/02/2022,01/01/2023,Laptop,High
U0191,Male,26-35,North,Basic,12/06/2024,13/12/2024,Tablet,Medium
U0192,Male,36-50,West,Basic,28/12/2024,25/10/2025,Tablet,Low
U0193,Other,18-25,West,Free Trial,30/12/2024,26/06/2025,Smart TV,Low
U0194,Female,26-35,South,Free Trial,27/06/2025,12/06/2026,Smart TV,Low
U0195,Male,36-50,South,Basic,01/08/2025,29/03/2026,Laptop,Low
U0196,Other,36-50,East,Basic,25/07/2024,23/05/2025,Smart TV,Low
U0197,Male,26-35,North,Premium,13/03/2022,09/11/2022,Tablet,High
U0198,Female,18-25,East,Free Trial,22/04/2022,11/01/2023,Tablet,Low
U0199,Male,18-25,West,Free Trial,03/08/2025,16/03/2026,Mobile,High
U0200,Other,36-50,North,Premium,18/07/2023,11/11/2023,Mobile,High
U0201,Other,36-50,West,Basic,18/08/2025,15/12/2025,Smart TV,Low
U0202,Other,18-25,North,Free Trial,29/10/2022,26/09/2023,Mobile,Low
U0203,Female,18-25,North,Premium,08/08/2025,14/01/2026,Laptop,Low
U0204,Other,36-50,East,Premium,30/10/2024,21/07/2025,Tablet,Low
U0205,Other,26-35,Central,Premium,23/01/2024,30/10/2024,Mobile,Low
U0206,Female,50+,Central,Basic,26/10/2022,03/10/2023,Tablet,Medium
U0207,Other,26-35,North,Premium,29/01/2022,19/05/2022,Mobile,Low
U0208,Male,36-50,West,Free Trial,28/01/2024,11/09/2024,Laptop,Medium
U0209,Other,36-50,North,Basic,06/12/2022,19/10/2023,Laptop,Low
U0210,Male,36-50,Central,Free Trial,16/07/2022,09/04/2023,Mobile,Low
U0211,Female,26-35,South,Premium,25/09/2023,08/07/2024,Smart TV,Medium
U0212,Female,50+,North,Premium,18/01/2025,30/12/2025,Laptop,High
U0213,Male,18-25,West,Free Trial,14/04/2023,15/10/2023,Smart TV,Low
U0214,Female,18-25,East,Free Trial,04/10/2023,22/07/2024,Smart TV,Low
U0215,Female,26-35,South,Free Trial,20/05/2024,05/03/2025,Mobile,Medium
U0216,Other,18-25,North,Premium,30/01/2022,08/08/2022,Laptop,High
U0217,Male,26-35,West,Basic,07/02/2023,24/11/2023,Tablet,Medium
U0218,Other,50+,West,Free Trial,08/12/2025,11/09/2026,Mobile,High
U0219,Female,18-25,West,Premium,22/04/2024,20/01/2025,Tablet,Medium
U0220,Male,36-50,West,Basic,11/05/2024,23/02/2025,Tablet,Medium
U0221,Male,26-35,West,Free Trial,29/03/2023,21/03/2024,Smart TV,Medium
U0222,Other,18-25,West,Premium,29/08/2024,13/02/2025,Smart TV,Low
U0223,Other,50+,West,Basic,28/11/2024,28/07/2025,Mobile,Low
U0224,Female,50+,North,Free Trial,11/08/2023,04/06/2024,Laptop,Low
U0225,Female,18-25,North,Premium,13/05/2024,31/10/2024,Smart TV,Low
U0226,Male,50+,East,Free Trial,09/04/2025,26/02/2026,Laptop,Low
U0227,Other,50+,West,Free Trial,28/05/2024,17/03/2025,Laptop,Medium
U0228,Female,36-50,Central,Premium,04/06/2024,12/03/2025,Tablet,Medium
U0229,Other,50+,East,Premium,22/10/2025,26/02/2026,Mobile,Medium
U0230,Other,50+,Central,Premium,14/11/2025,04/11/2026,Mobile,Medium
U0231,Male,26-35,East,Premium,25/03/2022,16/07/2022,Laptop,Medium
U0232,Other,18-25,West,Basic,24/12/2024,24/05/2025,Mobile,Medium
U0233,Female,18-25,East,Basic,26/01/2022,28/10/2022,Tablet,Low
U0234,Male,26-35,West,Free Trial,08/03/2022,04/10/2022,Smart TV,Medium
U0235,Other,50+,East,Premium,02/10/2023,05/03/2024,Mobile,High
U0236,Female,50+,West,Premium,17/11/2025,09/06/2026,Smart TV,Low
U0237,Female,26-35,East,Basic,20/05/2023,17/03/2024,Tablet,Medium
U0238,Female,36-50,East,Basic,25/04/2023,11/01/2024,Smart TV,High
U0239,Male,26-35,East,Free Trial,01/11/2023,06/06/2024,Tablet,Medium
U0240,Male,36-50,West,Premium,27/04/2025,13/08/2025,Mobile,Low
U0241,Other,36-50,Central,Premium,30/08/2023,21/05/2024,Laptop,Low
U0242,Male,50+,West,Premium,21/05/2023,20/09/2023,Mobile,High
U0243,Other,36-50,South,Premium,24/08/2022,13/05/2023,Smart TV,Medium
U0244,Female,36-50,South,Basic,19/05/2025,09/02/2026,Laptop,Low
U0245,Other,50+,Central,Free Trial,19/02/2025,11/01/2026,Mobile,High
U0246,Other,50+,North,Free Trial,19/12/2024,27/09/2025,Mobile,High
U0247,Other,18-25,West,Premium,30/08/2024,16/03/2025,Tablet,Medium
U0248,Male,50+,East,Free Trial,26/08/2022,17/06/2023,Mobile,High
U0249,Female,26-35,North,Premium,17/03/2025,12/02/2026,Smart TV,High
U0250,Female,50+,Central,Basic,23/03/2024,20/09/2024,Laptop,Medium
U0251,Female,50+,North,Premium,31/12/2023,20/05/2024,Mobile,Low
U0252,Other,26-35,South,Free Trial,03/05/2022,28/03/2023,Mobile,Low
U0253,Female,26-35,East,Free Trial,16/06/2025,19/11/2025,Tablet,High
U0254,Other,36-50,South,Premium,17/09/2023,12/09/2024,Tablet,Medium
U0255,Other,26-35,Central,Premium,19/07/2025,15/06/2026,Tablet,High
U0256,Male,50+,East,Premium,21/07/2025,02/11/2025,Tablet,Low
U0257,Other,18-25,North,Basic,05/10/2024,18/06/2025,Laptop,Medium
U0258,Male,36-50,South,Free Trial,24/11/2025,02/03/2026,Smart TV,Low
U0259,Other,36-50,East,Premium,31/03/2024,12/03/2025,Mobile,Medium
U0260,Female,18-25,North,Premium,12/01/2022,15/04/2022,Laptop,Medium
U0261,Female,26-35,Central,Premium,07/02/2025,24/06/2025,Tablet,High
U0262,Male,50+,Central,Premium,12/01/2024,27/10/2024,Tablet,Low
U0263,Male,50+,East,Premium,21/08/2022,03/12/2022,Smart TV,Medium
U0264,Other,50+,West,Premium,02/01/2022,22/06/2022,Tablet,Medium
U0265,Female,36-50,South,Premium,20/06/2023,15/01/2024,Laptop,Medium
U0266,Male,26-35,East,Free Trial,05/01/2023,16/08/2023,Smart TV,Medium
U0267,Female,18-25,Central,Free Trial,14/07/2025,18/03/2026,Mobile,Medium
U0268,Female,18-25,East,Free Trial,08/08/2025,22/06/2026,Smart TV,High
U0269,Male,50+,Central,Basic,23/06/2022,01/06/2023,Smart TV,High
U0270,Female,26-35,North,Basic,19/08/2022,05/04/2023,Tablet,Low
U0271,Female,26-35,North,Premium,22/02/2022,31/12/2022,Laptop,Low
U0272,Female,50+,South,Premium,30/07/2023,09/12/2023,Smart TV,High
U0273,Other,18-25,West,Premium,17/01/2024,17/05/2024,Laptop,Low
U0274,Female,36-50,West,Free Trial,26/02/2023,05/02/2024,Tablet,High
U0275,Other,50+,East,Free Trial,03/06/2025,15/05/2026,Tablet,High
U0276,Male,26-35,Central,Premium,31/10/2022,24/05/2023,Mobile,Low
U0277,Female,36-50,West,Basic,09/07/2025,26/04/2026,Mobile,High
U0278,Other,36-50,South,Free Trial,09/03/2024,10/12/2024,Smart TV,Medium
U0279,Female,26-35,East,Basic,10/05/2024,20/01/2025,Tablet,High
U0280,Male,50+,West,Free Trial,23/05/2022,25/10/2022,Tablet,High
U0281,Other,26-35,South,Premium,07/03/2023,05/02/2024,Mobile,Low
U0282,Female,36-50,South,Premium,12/02/2024,06/06/2024,Laptop,Medium
U0283,Other,26-35,South,Free Trial,18/02/2025,16/06/2025,Tablet,High
U0284,Male,50+,South,Basic,20/07/2024,18/11/2024,Laptop,High
U0285,Female,50+,East,Premium,24/01/2023,21/08/2023,Laptop,Medium
U0286,Other,18-25,Central,Free Trial,12/01/2024,20/12/2024,Smart TV,Medium
U0287,Female,36-50,South,Basic,24/08/2023,31/03/2024,Smart TV,Low
U0288,Male,18-25,South,Basic,16/04/2024,21/11/2024,Smart TV,Medium
U0289,Female,36-50,West,Premium,11/02/2022,01/07/2022,Mobile,High
U0290,Other,26-35,Central,Premium,10/01/2025,03/07/2025,Mobile,High
U0291,Female,50+,South,Free Trial,14/02/2023,12/06/2023,Laptop,Medium
U0292,Female,50+,East,Basic,09/03/2025,12/09/2025,Mobile,Medium
U0293,Other,26-35,South,Premium,07/05/2025,15/09/2025,Smart TV,High
U0294,Male,50+,Central,Premium,19/09/2024,13/06/2025,Tablet,High
U0295,Female,50+,South,Basic,08/03/2025,16/07/2025,Mobile,Low
U0296,Other,36-50,North,Free Trial,04/12/2022,25/08/2023,Tablet,Low
U0297,Male,36-50,South,Premium,22/09/2025,15/06/2026,Laptop,Low
U0298,Female,18-25,East,Free Trial,09/03/2025,13/12/2025,Mobile,Low
U0299,Other,18-25,North,Premium,06/01/2022,15/10/2022,Mobile,High
U0300,Other,18-25,West,Basic,25/04/2025,14/11/2025,Tablet,Medium
U0301,Male,36-50,North,Premium,25/10/2025,30/08/2026,Tablet,High
U0302,Other,26-35,West,Basic,01/05/2023,12/03/2024,Mobile,High
U0303,Female,26-35,West,Basic,22/09/2022,19/08/2023,Smart TV,Low
U0304,Female,18-25,East,Basic,11/04/2025,29/03/2026,Tablet,High
U0305,Male,50+,South,Basic,20/04/2023,12/02/2024,Laptop,Low
U0306,Female,50+,West,Basic,09/10/2025,04/09/2026,Mobile,Medium
U0307,Female,18-25,West,Free Trial,28/01/2023,09/12/2023,Laptop,Medium
U0308,Female,36-50,East,Free Trial,04/12/2025,03/10/2026,Smart TV,Low
U0309,Female,50+,West,Premium,20/12/2023,24/08/2024,Tablet,High
U0310,Female,18-25,North,Premium,05/05/2025,19/08/2025,Tablet,Medium
U0311,Other,18-25,North,Premium,10/06/2023,28/09/2023,Mobile,Low
U0312,Female,18-25,West,Premium,13/10/2024,20/01/2025,Mobile,Medium
U0313,Other,26-35,North,Free Trial,25/05/2022,14/11/2022,Tablet,High
U0314,Male,50+,South,Free Trial,24/06/2023,14/05/2024,Tablet,High
U0315,Male,36-50,East,Premium,01/08/2022,26/05/2023,Smart TV,Medium
U0316,Other,50+,North,Basic,11/10/2025,11/04/2026,Tablet,High
U0317,Female,26-35,North,Free Trial,21/08/2023,26/04/2024,Tablet,Medium
U0318,Male,26-35,Central,Premium,04/11/2024,29/10/2025,Mobile,Medium
U0319,Female,36-50,West,Free Trial,14/03/2025,28/07/2025,Laptop,Medium
U0320,Other,36-50,West,Premium,11/01/2024,07/07/2024,Tablet,Medium
U0321,Male,18-25,North,Premium,09/11/2025,09/05/2026,Laptop,Medium
U0322,Male,18-25,North,Basic,26/01/2023,29/07/2023,Laptop,Medium
U0323,Female,26-35,West,Free Trial,04/09/2025,06/03/2026,Laptop,Low
U0324,Female,36-50,Central,Basic,26/11/2022,16/08/2023,Smart TV,High
U0325,Female,50+,West,Free Trial,14/10/2022,04/08/2023,Smart TV,High
U0326,Male,36-50,West,Premium,05/12/2022,25/11/2023,Mobile,High
U0327,Other,26-35,West,Basic,30/03/2023,13/01/2024,Mobile,Medium
U0328,Female,36-50,West,Basic,08/01/2023,28/07/2023,Smart TV,High
U0329,Female,18-25,East,Premium,09/09/2024,27/02/2025,Tablet,High
U0330,Male,26-35,East,Premium,01/10/2024,03/04/2025,Mobile,High
U0331,Other,50+,Central,Premium,13/01/2022,17/04/2022,Laptop,Medium
U0332,Male,36-50,West,Basic,11/08/2022,18/01/2023,Tablet,High
U0333,Male,36-50,West,Basic,22/02/2025,13/11/2025,Mobile,Medium
U0334,Female,50+,South,Free Trial,08/02/2022,18/12/2022,Tablet,Medium
U0335,Female,26-35,West,Basic,06/03/2022,19/01/2023,Smart TV,High
U0336,Male,36-50,West,Basic,24/08/2023,04/06/2024,Mobile,High
U0337,Male,50+,West,Premium,17/01/2023,27/10/2023,Laptop,Low
U0338,Other,50+,West,Premium,28/08/2023,22/02/2024,Mobile,Low
U0339,Female,50+,West,Premium,03/12/2023,26/06/2024,Tablet,High
U0340,Other,26-35,South,Free Trial,02/07/2023,12/04/2024,Laptop,Low
U0341,Male,18-25,Central,Premium,18/02/2023,29/06/2023,Mobile,Medium
U0342,Other,50+,East,Basic,23/11/2025,24/03/2026,Mobile,Medium
U0343,Female,36-50,South,Basic,05/05/2025,09/12/2025,Laptop,Medium
U0344,Female,26-35,North,Premium,08/04/2025,18/12/2025,Tablet,Low
U0345,Male,26-35,Central,Basic,25/02/2025,14/11/2025,Tablet,Medium
U0346,Other,36-50,West,Free Trial,30/06/2022,06/03/2023,Tablet,Medium
U0347,Other,50+,West,Premium,14/10/2024,01/09/2025,Mobile,Low
U0348,Male,50+,South,Basic,25/12/2024,04/06/2025,Mobile,Medium
U0349,Male,36-50,East,Premium,10/05/2022,16/03/2023,Mobile,High
