Session_ID,User_ID,Content_ID,View_Date,Watch_Duration_Minutes,Completion_Percentage,Paused_Times,Rewatched_Flag,Time_of_Day,Device_Type
S345524,U0003,C16217,10/12/2025,17,19,1,N,Afternoon,Tablet
S419224,U0003,C02267,06/02/2025,18,37,2,Y,Afternoon,Tablet
S333004,U0003,C04089,21/08/2025,74,77,3,N,Afternoon,Tablet
S122967,U0003,C07808,27/07/2024,19,20,3,Y,Evening,Tablet
S374854,U0003,C11726,17/09/2022,14,33,0,N,Afternoon,Tablet
S861590,U0003,C12411,16/11/2023,258,43,3,N,Morning,Tablet
S392023,U0003,C01228,23/08/2022,116,71,0,Y,Afternoon,Tablet
S554606,U0003,C04809,05/11/2024,8,4,2,N,Night,Tablet
S482010,U0003,C09751,21/07/2025,945,52,3,Y,Evening,Tablet
S285920,U0003,C06441,21/04/2022,66,71,3,Y,Night,Tablet
S991348,U0003,C00942,19/09/2022,41,31,1,Y,Afternoon,Tablet
S780584,U0003,C13980,25/07/2025,54,58,2,N,Night,Tablet
S787620,U0003,C11336,27/10/2022,9,45,2,N,Night,Tablet
S276144,U0003,C07284,17/09/2022,29,54,1,Y,Night,Tablet
S986257,U0003,C16653,22/02/2022,17,85,3,Y,Evening,Tablet
S701896,U0004,C15769,17/01/2025,199,33,1,N,Evening,Laptop
S262392,U0004,C13122,05/03/2025,10,45,1,N,Night,Laptop
S800124,U0004,C16215,08/12/2022,82,78,2,Y,Evening,Laptop
S555160,U0004,C16018,08/12/2024,114,91,1,N,Night,Laptop
S316054,U0004,C08436,30/03/2024,32,65,0,Y,Evening,Laptop
S301331,U0004,C09798,05/08/2023,6,6,2,N,Afternoon,Laptop
S383995,U0004,C04978,26/04/2023,10,11,3,N,Afternoon,Laptop
S370339,U0004,C13879,09/04/2023,62,68,1,Y,Afternoon,Laptop
S222221,U0004,C00223,26/11/2025,467,77,1,Y,Morning,Laptop
S972311,U0004,C05154,12/02/2025,10,11,3,Y,Night,Laptop
S124088,U0004,C05344,03/05/2024,721,60,1,N,Evening,Laptop
S591868,U0004,C11923,23/09/2022,98,100,0,N,Night,Laptop
S299917,U0004,C06325,26/11/2023,54,77,0,Y,Afternoon,Laptop
S971138,U0004,C05861,08/02/2022,7,15,2,N,Afternoon,Laptop
S187100,U0004,C16757,25/11/2024,93,73,0,Y,Morning,Laptop
S249403,U0005,C11683,04/10/2024,14,15,3,N,Evening,Mobile
S513644,U0005,C13716,12/03/2022,104,90,3,N,Morning,Mobile
S391066,U0005,C07927,13/09/2024,1312,54,0,Y,Evening,Mobile
S771964,U0005,C12529,12/09/2023,89,91,3,N,Evening,Mobile
S484859,U0005,C16907,09/01/2022,724,60,0,N,Afternoon,Mobile
S992834,U0005,C08361,07/05/2022,54,78,1,Y,Evening,Mobile
S898652,U0005,C01686,12/04/2022,46,52,0,N,Morning,Mobile
S247466,U0005,C13173,20/02/2025,413,68,1,N,Night,Mobile
S188924,U0005,C15019,19/03/2024,94,100,3,Y,Evening,Mobile
S180874,U0005,C12474,30/04/2024,25,80,0,Y,Night,Mobile
S635555,U0005,C11123,06/01/2025,36,3,3,Y,Evening,Mobile
S216509,U0005,C03451,30/04/2025,52,100,3,Y,Afternoon,Mobile
S597335,U0005,C02077,01/10/2023,45,48,2,Y,Morning,Mobile
S918449,U0005,C11754,14/05/2025,45,47,2,N,Night,Mobile
S290404,U0005,C08315,04/05/2023,49,36,2,N,Afternoon,Mobile
S357096,U0006,C13702,31/08/2023,362,60,2,N,Evening,Laptop
S381780,U0006,C07840,12/05/2025,64,66,1,Y,Night,Laptop
S245093,U0006,C14086,03/03/2023,85,74,2,N,Evening,Laptop
S415510,U0006,C12446,22/01/2025,47,51,2,Y,Evening,Laptop
S552146,U0006,C17263,31/03/2022,30,42,0,Y,Afternoon,Laptop
S981664,U0006,C08965,21/01/2023,89,96,2,N,Night,Laptop
S430163,U0006,C08784,14/12/2023,11,22,2,N,Night,Laptop
S840967,U0006,C12436,19/01/2023,49,61,1,Y,Evening,Laptop
S751344,U0006,C10869,09/09/2024,57,91,2,N,Morning,Laptop
S193109,U0006,C11872,18/01/2025,79,88,2,Y,Morning,Laptop
S718087,U0006,C17252,20/12/2023,16,17,2,Y,Morning,Laptop
S797717,U0006,C16742,21/11/2025,14,63,2,Y,Morning,Laptop
S908964,U0006,C07836,06/12/2025,6,5,2,Y,Afternoon,Laptop
S500209,U0006,C00541,10/06/2023,307,17,2,N,Evening,Laptop
S161786,U0006,C04893,10/02/2023,311,51,2,Y,Afternoon,Laptop
S110736,U0007,C09532,16/05/2023,26,28,1,N,Afternoon,Mobile
S119468,U0007,C16972,23/03/2024,36,39,2,N,Evening,Mobile
S147848,U0007,C08557,26/01/2022,57,55,1,Y,Night,Mobile
S637171,U0007,C16580,22/02/2024,375,62,0,N,Evening,Mobile
S999955,U0007,C08217,15/12/2025,62,68,0,Y,Morning,Mobile
S665681,U0007,C15605,07/08/2022,48,57,3,Y,Night,Mobile
S898423,U0007,C09399,26/01/2022,30,50,2,Y,Night,Mobile
S202680,U0007,C10149,12/06/2023,34,59,2,Y,Morning,Mobile
S222272,U0007,C00719,12/09/2025,395,65,3,Y,Afternoon,Mobile
S404658,U0007,C05488,20/09/2023,457,76,2,N,Afternoon,Mobile
S699131,U0007,C04112,02/12/2023,27,21,3,N,Night,Mobile
S379912,U0007,C02047,08/11/2024,32,28,3,Y,Afternoon,Mobile
S409962,U0007,C07539,07/07/2023,66,68,0,Y,Evening,Mobile
S518541,U0007,C02821,12/06/2025,24,21,3,N,Afternoon,Mobile
S320477,U0007,C10652,30/08/2024,20,35,2,Y,Afternoon,Mobile
S737293,U0008,C13167,24/10/2023,39,41,1,N,Morning,Tablet
S117986,U0008,C16196,22/11/2025,77,79,0,Y,Morning,Tablet
S518800,U0008,C10911,17/02/2022,100,92,2,Y,Evening,Tablet
S692893,U0008,C12348,22/03/2023,17,26,3,Y,Evening,Tablet
S435214,U0008,C05149,17/07/2024,651,36,3,Y,Night,Tablet
S818845,U0008,C09653,13/03/2025,114,91,0,N,Night,Tablet
S577853,U0008,C02371,26/02/2024,14,9,1,Y,Afternoon,Tablet
S136894,U0008,C06691,12/04/2024,69,80,0,Y,Afternoon,Tablet
S764262,U0008,C00028,05/01/2022,76,68,0,N,Morning,Tablet
S896460,U0008,C01156,02/06/2023,300,50,3,Y,Night,Tablet
S155590,U0008,C08863,01/03/2024,542,90,2,N,Evening,Tablet
S339014,U0008,C16790,19/03/2024,388,64,1,N,Evening,Tablet
S849530,U0008,C02160,12/12/2025,395,16,1,N,Evening,Tablet
S834735,U0008,C13334,07/10/2022,22,3,1,N,Morning,Tablet
S577922,U0008,C06820,05/01/2024,45,51,3,N,Night,Tablet
S486559,U0009,C10491,05/11/2025,77,78,3,N,Morning,Mobile
S489426,U0009,C02327,02/03/2025,61,57,1,Y,Evening,Mobile
S933737,U0009,C14961,06/01/2025,46,68,1,Y,Morning,Mobile
S377152,U0009,C11290,18/04/2023,3879,80,3,Y,Afternoon,Mobile
S974801,U0009,C04164,18/01/2023,60,82,2,Y,Evening,Mobile
S519946,U0009,C03789,10/03/2022,52,39,0,Y,Night,Mobile
S422525,U0009,C16892,31/01/2024,23,23,0,N,Afternoon,Mobile
S284930,U0009,C04495,08/07/2022,748,62,1,N,Afternoon,Mobile
S389601,U0009,C16355,12/07/2025,9,9,0,Y,Night,Mobile
S422591,U0009,C14192,18/02/2024,5,100,3,N,Morning,Mobile
S498405,U0009,C01752,10/02/2023,56,56,2,Y,Morning,Mobile
S359338,U0009,C00296,10/10/2024,22,24,2,N,Evening,Mobile
S926946,U0009,C05021,14/04/2022,100,16,2,Y,Afternoon,Mobile
S244641,U0009,C10774,11/06/2025,551,91,3,Y,Afternoon,Mobile
S223577,U0009,C09680,13/04/2024,62,54,2,N,Evening,Mobile
S362691,U0010,C09408,09/11/2024,266,44,3,N,Night,Mobile
S661637,U0010,C11177,18/04/2022,5,5,3,Y,Night,Mobile
S793188,U0010,C15611,02/07/2023,51,57,2,N,Morning,Mobile
S647053,U0010,C07512,13/12/2023,60,71,3,Y,Afternoon,Mobile
S196741,U0010,C07281,23/03/2025,6,5,3,N,Evening,Mobile
S440010,U0010,C00100,14/01/2025,81,90,1,N,Night,Mobile
S298279,U0010,C12690,31/07/2024,21,25,2,N,Afternoon,Mobile
S678654,U0010,C05051,27/09/2024,66,70,2,Y,Night,Mobile
S554117,U0010,C16455,08/08/2022,16,39,1,Y,Night,Mobile
S333025,U0010,C01959,06/08/2022,460,76,1,N,Evening,Mobile
S290415,U0010,C16449,08/09/2022,128,5,0,N,Morning,Mobile
S224236,U0010,C10835,07/11/2023,22,47,2,N,Evening,Mobile
S333728,U0010,C10208,02/12/2024,76,88,0,Y,Afternoon,Mobile
S802652,U0010,C00098,20/03/2023,104,81,2,Y,Night,Mobile
S895635,U0010,C12978,04/10/2025,171,28,2,N,Evening,Mobile
S903409,U0011,C13073,01/02/2025,7,9,3,N,Evening,Laptop
S815872,U0011,C10993,15/06/2023,61,66,2,N,Afternoon,Laptop
S188838,U0011,C05231,18/03/2024,374,62,0,Y,Morning,Laptop
S273064,U0011,C00846,15/08/2024,43,44,1,Y,Night,Laptop
S819001,U0011,C15302,16/09/2024,85,89,0,Y,Night,Laptop
S508520,U0011,C00422,13/06/2022,24,24,0,N,Evening,Laptop
S582684,U0011,C15529,16/10/2025,38,44,2,N,Morning,Laptop
S347126,U0011,C09478,25/07/2022,278,46,2,N,Afternoon,Laptop
S200314,U0011,C15038,14/06/2024,20,19,1,N,Night,Laptop
S169511,U0011,C12748,25/02/2023,10,7,0,N,Evening,Laptop
S309039,U0011,C11486,27/11/2023,101,72,2,Y,Evening,Laptop
S144978,U0011,C11339,09/02/2023,7,31,1,N,Night,Laptop
S202602,U0011,C01596,24/12/2025,107,83,0,Y,Afternoon,Laptop
S585165,U0011,C16540,17/06/2023,557,92,1,N,Morning,Laptop
S605304,U0011,C17180,18/12/2024,1312,36,3,Y,Afternoon,Laptop
S659591,U0012,C03685,10/04/2022,56,64,2,Y,Night,Smart TV
S592857,U0012,C03085,19/02/2023,1095,91,3,N,Morning,Smart TV
S696977,U0012,C07648,03/12/2024,1592,88,3,N,Morning,Smart TV
S730213,U0012,C04745,05/05/2022,11,15,3,N,Morning,Smart TV
S646031,U0012,C16814,19/05/2022,116,86,1,Y,Night,Smart TV
S486435,U0012,C10301,15/02/2023,8,25,1,Y,Night,Smart TV
S973178,U0012,C06314,04/08/2024,79,96,1,N,Night,Smart TV
S914074,U0012,C01895,15/08/2022,1305,72,1,Y,Morning,Smart TV
S631170,U0012,C04777,25/04/2025,28,45,0,Y,Night,Smart TV
S927870,U0012,C13545,28/03/2022,95,96,3,Y,Night,Smart TV
S339239,U0012,C03285,03/10/2024,76,88,1,Y,Evening,Smart TV
S261757,U0012,C13594,15/01/2022,63,47,3,Y,Morning,Smart TV
S807325,U0012,C00120,03/08/2023,38,33,2,N,Evening,Smart TV
S179987,U0012,C04789,30/03/2025,55,50,2,N,Afternoon,Smart TV
S382480,U0012,C14200,28/11/2022,34,35,1,N,Evening,Smart TV
S175979,U0013,C16461,06/12/2023,40,88,0,Y,Evening,Smart TV
S741996,U0013,C05596,21/04/2023,397,66,2,N,Morning,Smart TV
S965036,U0013,C14037,09/10/2025,30,62,1,N,Night,Smart TV
S312518,U0013,C09787,06/06/2023,9,50,1,Y,Evening,Smart TV
S811843,U0013,C08501,12/02/2023,1030,85,2,Y,Afternoon,Smart TV
S357530,U0013,C02178,20/01/2024,119,73,3,N,Night,Smart TV
S924569,U0013,C08915,08/02/2022,2532,84,2,Y,Afternoon,Smart TV
S265485,U0013,C12393,15/06/2024,116,98,2,N,Afternoon,Smart TV
S876695,U0013,C08231,04/10/2025,116,99,1,N,Morning,Smart TV
S799734,U0013,C05279,06/07/2024,40,45,0,Y,Afternoon,Smart TV
S749387,U0013,C11898,21/02/2023,18,13,1,Y,Night,Smart TV
S694845,U0013,C14859,04/02/2022,50,47,0,N,Afternoon,Smart TV
S368657,U0013,C02944,29/11/2024,286,47,2,Y,Afternoon,Smart TV
S855056,U0013,C10232,14/11/2022,31,36,2,N,Evening,Smart TV
S560952,U0013,C02328,17/04/2022,37,31,1,N,Night,Smart TV
S917633,U0014,C06198,08/05/2022,32,31,2,Y,Afternoon,Smart TV
S221423,U0014,C03352,30/04/2024,26,32,1,N,Morning,Smart TV
S342902,U0014,C13884,31/08/2025,111,82,3,Y,Evening,Smart TV
S375246,U0014,C02763,21/11/2023,56,51,1,N,Morning,Smart TV
S121435,U0014,C06976,23/05/2023,41,47,2,Y,Afternoon,Smart TV
S869792,U0014,C08623,04/04/2023,6,1,1,N,Night,Smart TV
S597160,U0014,C16660,19/09/2024,499,83,3,N,Morning,Smart TV
S600402,U0014,C10553,18/03/2025,11,0,2,Y,Morning,Smart TV
S518679,U0014,C01097,22/02/2022,38,63,3,Y,Afternoon,Smart TV
S782911,U0014,C03386,02/01/2024,11,6,1,Y,Morning,Smart TV
S722717,U0014,C02658,13/07/2025,13,13,2,Y,Evening,Smart TV
S986367,U0014,C09534,22/04/2023,158,97,1,N,Morning,Smart TV
S321893,U0014,C13390,13/01/2022,70,61,2,N,Afternoon,Smart TV
S716348,U0014,C09659,21/05/2023,50,45,1,N,Morning,Smart TV
S623162,U0014,C07933,24/04/2024,54,63,0,N,Night,Smart TV
S797540,U0015,C06861,01/02/2024,26,25,0,Y,Evening,Tablet
S413877,U0015,C15220,19/12/2023,87,75,0,N,Evening,Tablet
S677059,U0015,C12210,09/08/2024,18,20,3,N,Night,Tablet
S150430,U0015,C06572,05/02/2023,28,4,3,Y,Afternoon,Tablet
S186304,U0015,C11668,15/03/2025,75,89,2,N,Morning,Tablet
S893499,U0015,C09109,18/03/2025,365,76,2,N,Night,Tablet
S307726,U0015,C10743,01/07/2022,87,65,2,N,Morning,Tablet
S945125,U0015,C02452,14/02/2023,485,80,0,Y,Evening,Tablet
S817238,U0015,C14016,15/06/2023,91,86,2,Y,Night,Tablet
S449081,U0015,C00866,26/08/2024,35,36,1,Y,Morning,Tablet
S565344,U0015,C08188,13/11/2023,60,73,2,N,Afternoon,Tablet
S700083,U0015,C04613,19/09/2024,6,1,0,Y,Afternoon,Tablet
S266656,U0015,C08360,08/10/2024,14,18,3,N,Morning,Tablet
S942003,U0015,C00472,05/09/2023,111,9,0,Y,Evening,Tablet
S506006,U0015,C02589,29/05/2024,75,83,3,N,Evening,Tablet
S821059,U0016,C03000,19/08/2022,10,15,1,Y,Night,Tablet
S130721,U0016,C05385,04/03/2025,31,49,3,Y,Night,Tablet
S100110,U0016,C09834,02/05/2024,144,83,0,Y,Morning,Tablet
S816102,U0016,C09848,13/05/2023,422,70,2,N,Morning,Tablet
S204053,U0016,C05634,15/09/2022,78,84,1,N,Night,Tablet
S560512,U0016,C17284,04/10/2023,21,87,0,Y,Evening,Tablet
S517307,U0016,C01208,02/09/2022,406,67,3,N,Evening,Tablet
S256492,U0016,C08801,15/06/2023,15,17,0,N,Afternoon,Tablet
S429335,U0016,C01552,15/01/2023,21,25,1,Y,Morning,Tablet
S899201,U0016,C13993,13/11/2022,49,62,1,N,Morning,Tablet
S432526,U0016,C17347,18/02/2023,35,42,1,N,Evening,Tablet
S149531,U0016,C13257,17/04/2025,17,73,0,Y,Morning,Tablet
S970668,U0016,C04800,01/09/2023,1068,59,1,Y,Morning,Tablet
S774573,U0016,C14729,01/08/2024,90,98,1,Y,Night,Tablet
S117656,U0016,C06551,28/08/2023,5963,99,3,Y,Evening,Tablet
S660999,U0017,C16926,02/05/2022,47,46,1,Y,Evening,Mobile
S898634,U0017,C13743,13/12/2024,60,75,3,Y,Evening,Mobile
S477252,U0017,C08626,31/12/2023,21,45,0,Y,Afternoon,Mobile
S621402,U0017,C07803,25/10/2024,28,25,2,Y,Morning,Mobile
S979954,U0017,C17100,23/03/2024,30,31,1,N,Afternoon,Mobile
S684174,U0017,C03185,26/12/2023,25,20,0,N,Evening,Mobile
S129448,U0017,C09448,15/04/2024,29,26,3,Y,Morning,Mobile
S439272,U0017,C02615,30/03/2022,83,58,0,Y,Afternoon,Mobile
S697993,U0017,C13702,05/03/2025,530,88,2,Y,Night,Mobile
S297977,U0017,C14131,29/01/2024,32,32,0,Y,Evening,Mobile
S713112,U0017,C11177,05/03/2022,33,37,2,Y,Evening,Mobile
S422617,U0017,C06718,04/10/2023,79,74,3,Y,Afternoon,Mobile
S595804,U0017,C01693,20/12/2023,1193,49,1,N,Afternoon,Mobile
S733011,U0017,C03482,06/06/2024,20,3,1,Y,Morning,Mobile
S726755,U0017,C03435,20/01/2022,43,3,0,N,Evening,Mobile
S559767,U0018,C09523,24/08/2023,39,65,3,Y,Afternoon,Smart TV
S527239,U0018,C04068,01/03/2025,23,35,0,Y,Evening,Smart TV
S713375,U0018,C11158,27/01/2023,107,80,1,N,Morning,Smart TV
S318662,U0018,C05058,24/09/2024,1469,81,2,Y,Evening,Smart TV
S278288,U0018,C01271,25/05/2022,68,11,3,Y,Morning,Smart TV
S184135,U0018,C11774,26/03/2023,94,86,0,N,Night,Smart TV
S968333,U0018,C00538,09/08/2022,318,53,1,N,Morning,Smart TV
S695368,U0018,C15400,17/04/2022,69,80,1,N,Evening,Smart TV
S370287,U0018,C15352,25/03/2025,57,46,0,N,Night,Smart TV
S343808,U0018,C11789,27/03/2025,14,16,1,N,Afternoon,Smart TV
S839963,U0018,C01152,01/07/2024,9,1,0,Y,Morning,Smart TV
S663930,U0018,C17065,22/09/2024,7,100,0,N,Evening,Smart TV
S211034,U0018,C14388,04/06/2023,36,75,2,Y,Evening,Smart TV
S674582,U0018,C15893,16/03/2023,108,68,3,N,Morning,Smart TV
S254010,U0018,C15744,01/04/2022,34,55,3,N,Afternoon,Smart TV
S789503,U0019,C05759,29/08/2023,114,87,3,Y,Morning,Mobile
S937844,U0019,C06917,11/06/2022,102,99,2,Y,Evening,Mobile
S325632,U0019,C06225,25/10/2024,56,48,1,N,Night,Mobile
S168433,U0019,C02060,26/11/2022,28,40,3,Y,Evening,Mobile
S504784,U0019,C00296,17/01/2023,52,57,2,Y,Morning,Mobile
S654456,U0019,C15046,27/06/2024,72,76,3,N,Night,Mobile
S929450,U0019,C04669,17/03/2023,86,96,3,N,Night,Mobile
S855488,U0019,C05277,27/07/2023,99,16,1,Y,Evening,Mobile
S922343,U0019,C05678,30/06/2022,53,75,2,Y,Afternoon,Mobile
S144719,U0019,C08294,17/04/2022,21,42,0,Y,Night,Mobile
S280713,U0019,C06741,20/07/2023,41,42,0,Y,Afternoon,Mobile
S580966,U0019,C04451,20/01/2023,23,15,1,N,Night,Mobile
S847332,U0019,C12929,26/08/2024,153,25,0,N,Evening,Mobile
S744692,U0019,C09395,19/03/2025,481,80,2,Y,Evening,Mobile
S316796,U0019,C04587,13/10/2023,28,28,1,N,Morning,Mobile
S300936,U0020,C07697,04/09/2023,29,28,3,Y,Evening,Tablet
S963278,U0020,C00101,12/08/2024,142,23,3,N,Night,Tablet
S771482,U0020,C12869,03/06/2025,104,74,3,N,Morning,Tablet
S438001,U0020,C03928,17/09/2022,85,82,0,N,Afternoon,Tablet
S383791,U0020,C03988,26/07/2022,61,46,1,N,Afternoon,Tablet
S762863,U0020,C10064,29/11/2024,54,88,0,N,Evening,Tablet
S446050,U0020,C09759,18/10/2022,570,95,2,N,Morning,Tablet
S166084,U0020,C11031,19/10/2024,568,94,0,Y,Morning,Tablet
S181917,U0020,C13752,05/08/2023,71,69,2,Y,Afternoon,Tablet
S678101,U0020,C05120,20/10/2025,34,53,3,Y,Night,Tablet
S676281,U0020,C09292,26/11/2025,106,92,2,N,Evening,Tablet
S928261,U0020,C10838,15/08/2024,32,37,1,N,Morning,Tablet
S438231,U0020,C14182,29/07/2025,43,64,0,Y,Evening,Tablet
S698888,U0020,C14319,18/05/2023,986,41,2,N,Morning,Tablet
S716114,U0020,C15209,19/04/2023,48,52,0,Y,Evening,Tablet
S768468,U0021,C01229,30/05/2025,387,21,2,Y,Afternoon,Laptop
S910773,U0021,C03381,29/04/2023,715,59,2,Y,Evening,Laptop
S189560,U0021,C14693,14/12/2025,121,94,2,N,Morning,Laptop
S382135,U0021,C05356,25/04/2023,57,58,2,N,Evening,Laptop
S589932,U0021,C09027,10/01/2022,129,75,2,N,Evening,Laptop
S787160,U0021,C11241,15/02/2022,36,39,1,Y,Morning,Laptop
S715328,U0021,C15757,29/05/2024,62,62,0,N,Morning,Laptop
S739925,U0021,C13662,04/05/2024,87,82,1,N,Evening,Laptop
S540026,U0021,C05415,29/06/2024,9,9,0,N,Afternoon,Laptop
S760606,U0021,C13328,31/12/2025,18,37,0,N,Morning,Laptop
S644871,U0021,C06414,04/07/2023,53,62,1,N,Evening,Laptop
S806114,U0021,C11561,10/07/2022,22,42,1,Y,Morning,Laptop
S661074,U0021,C15321,03/12/2022,64,79,3,Y,Evening,Laptop
S400865,U0021,C16794,29/04/2022,7,30,1,Y,Afternoon,Laptop
S818491,U0021,C00859,07/02/2022,405,33,0,N,Afternoon,Laptop
S269686,U0022,C04367,02/11/2023,355,29,1,Y,Afternoon,Laptop
S754220,U0022,C10566,17/12/2025,10,10,0,N,Afternoon,Laptop
S748288,U0022,C10044,02/08/2024,134,22,2,N,Evening,Laptop
S722160,U0022,C10991,08/04/2023,157,26,0,N,Afternoon,Laptop
S660532,U0022,C12203,11/01/2024,70,85,3,N,Night,Laptop
S258496,U0022,C04887,03/12/2022,250,41,1,N,Evening,Laptop
S764105,U0022,C11302,18/01/2025,303,50,0,N,Morning,Laptop
S858291,U0022,C09034,26/01/2023,67,65,0,N,Morning,Laptop
S985283,U0022,C16958,01/12/2022,34,33,1,N,Evening,Laptop
S842919,U0022,C15772,03/04/2023,54,55,1,Y,Night,Laptop
S313915,U0022,C14322,01/07/2024,65,67,3,Y,Evening,Laptop
S495289,U0022,C09193,17/09/2023,239,39,3,Y,Afternoon,Laptop
S349432,U0022,C02169,08/06/2025,33,50,0,N,Night,Laptop
S419453,U0022,C03556,07/09/2022,16,24,0,Y,Afternoon,Laptop
S855620,U0022,C04921,09/09/2025,9,10,3,N,Night,Laptop
S977606,U0023,C02900,06/12/2025,27,25,2,Y,Night,Smart TV
S916099,U0023,C09739,01/10/2022,75,96,0,Y,Night,Smart TV
S109033,U0023,C00810,05/12/2022,16,14,2,Y,Evening,Smart TV
S560018,U0023,C14409,18/09/2025,73,78,2,Y,Afternoon,Smart TV
S210628,U0023,C11596,03/07/2022,129,85,2,N,Night,Smart TV
S228442,U0023,C03952,13/02/2024,36,30,0,Y,Night,Smart TV
S291709,U0023,C01755,12/09/2023,2375,98,1,Y,Afternoon,Smart TV
S609358,U0023,C07787,16/10/2023,150,3,2,N,Morning,Smart TV
S260637,U0023,C11702,05/05/2023,53,59,1,Y,Afternoon,Smart TV
S603985,U0023,C11073,06/06/2025,65,72,0,N,Night,Smart TV
S299345,U0023,C14900,15/02/2023,16,16,2,Y,Morning,Smart TV
S369221,U0023,C05717,21/09/2023,76,76,2,Y,Evening,Smart TV
S619245,U0023,C15040,19/09/2023,30,34,3,N,Evening,Smart TV
S219124,U0023,C16940,01/10/2024,13,9,1,Y,Morning,Smart TV
S205647,U0023,C04237,20/04/2024,12,13,3,N,Night,Smart TV
S571917,U0024,C15321,04/12/2025,57,70,1,Y,Afternoon,Tablet
S640539,U0024,C12310,10/06/2022,20,15,1,Y,Evening,Tablet
S728386,U0024,C05240,13/03/2022,436,72,3,Y,Evening,Tablet
S426358,U0024,C00361,28/11/2022,490,81,3,Y,Morning,Tablet
S308927,U0024,C03675,29/07/2022,65,71,3,Y,Afternoon,Tablet
S805520,U0024,C15775,01/02/2025,25,33,2,Y,Night,Tablet
S158354,U0024,C06871,28/08/2023,75,70,2,N,Morning,Tablet
S758480,U0024,C02230,10/03/2023,107,79,2,Y,Morning,Tablet
S772008,U0024,C12555,17/02/2022,14,63,3,Y,Afternoon,Tablet
S107576,U0024,C05155,25/10/2025,24,28,1,Y,Night,Tablet
S708643,U0024,C11423,22/07/2025,77,78,0,Y,Morning,Tablet
S433157,U0024,C16774,27/05/2023,104,93,2,Y,Morning,Tablet
S288567,U0024,C13346,02/10/2025,83,69,1,Y,Night,Tablet
S753433,U0024,C02610,19/12/2024,152,79,0,Y,Evening,Tablet
S155258,U0024,C06927,13/10/2024,960,80,1,N,Night,Tablet
S803458,U0025,C01962,19/10/2025,22,21,3,Y,Afternoon,Tablet
S149020,U0025,C13544,29/09/2024,175,9,0,Y,Night,Tablet
S316113,U0025,C08133,08/12/2024,57,61,3,Y,Night,Tablet
S697139,U0025,C03961,30/12/2023,70,78,2,N,Evening,Tablet
S866139,U0025,C09769,12/04/2025,8,7,3,N,Night,Tablet
S622283,U0025,C06627,26/10/2024,54,46,1,N,Evening,Tablet
S783491,U0025,C07388,07/01/2025,31,34,3,N,Afternoon,Tablet
S784585,U0025,C07508,25/02/2022,511,85,3,Y,Afternoon,Tablet
S469792,U0025,C08061,07/08/2023,10,8,3,N,Evening,Tablet
S694513,U0025,C13525,03/03/2022,6,12,0,N,Evening,Tablet
S754805,U0025,C05501,24/06/2024,451,75,0,Y,Afternoon,Tablet
S131391,U0025,C05611,06/03/2025,58,89,3,Y,Evening,Tablet
S916197,U0025,C07742,17/04/2024,74,71,1,N,Afternoon,Tablet
