User_ID,Content_ID,Rating,Liked_Flag,Feedback_Category
U0804,C09674,2,Y,Negative
U0400,C10396,2,N,Negative
U0964,C14244,3,N,Neutral
U1446,C15681,4,Y,Positive
U1874,C12073,2,N,Negative
U1086,C04702,4,Y,Positive
U0179,C15525,1,Y,Negative
U1611,C04055,5,Y,Positive
U1351,C15772,2,N,Negative
U0671,C01648,3,N,Neutral
U0339,C11989,5,Y,Positive
U0703,C12022,3,N,Neutral
U1849,C14743,3,Y,Neutral
U1203,C11663,1,N,Negative
U1047,C00953,3,N,Neutral
U0427,C16979,1,N,Negative
U0586,C10798,2,N,Negative
U0827,C02567,3,Y,Neutral
U0155,C07953,4,Y,Positive
U1732,C05523,4,Y,Positive
U0125,C14617,5,Y,Positive
U0710,C01240,2,N,Negative
U1419,C08599,1,N,Negative
U0755,C10400,3,N,Neutral
U1459,C07626,1,N,Negative
U0085,C07643,4,Y,Positive
U1009,C07748,5,Y,Positive
U0680,C11932,4,Y,Positive
U0723,C07461,2,N,Negative
U0053,C01985,2,N,Negative
U0098,C13214,1,Y,Negative
U1619,C12840,5,Y,Positive
U0526,C05825,3,Y,Neutral
U0875,C15693,4,Y,Positive
U1281,C17600,5,Y,Positive
U0693,C11420,3,N,Neutral
U0914,C17124,5,Y,Positive
U1051,C07583,4,Y,Positive
U0625,C01902,2,Y,Negative
U0286,C08226,2,N,Negative
U1242,C00772,1,N,Negative
U1800,C14716,1,N,Negative
U1279,C08898,5,Y,Positive
U1744,C03930,2,N,Negative
U1577,C03249,3,Y,Neutral
U0098,C13782,1,N,Negative
U0004,C13161,2,N,Negative
U0672,C09614,3,N,Neutral
U1171,C08261,4,Y,Positive
U1063,C10802,2,Y,Negative
U0744,C01591,4,Y,Positive
U1558,C02258,1,N,Negative
U1055,C01886,5,Y,Positive
U1999,C07397,1,N,Negative
U1407,C07673,2,N,Negative
U0857,C11886,2,N,Negative
U0159,C09713,4,Y,Positive
U0130,C03466,1,N,Negative
U1783,C15297,5,Y,Positive
U0018,C10910,4,Y,Positive
U0433,C06043,2,Y,Negative
U1762,C02076,5,Y,Positive
U1036,C14328,5,Y,Positive
U1224,C08181,2,N,Negative
U0209,C04144,4,Y,Positive
U1239,C06410,4,Y,Positive
U1862,C01060,3,N,Neutral
U0838,C16885,5,Y,Positive
U1016,C17014,1,Y,Negative
U0875,C06787,4,Y,Positive
U1339,C14508,4,Y,Positive
U1029,C07401,4,Y,Positive
U1319,C16050,4,Y,Positive
U0599,C05304,5,Y,Positive
U1449,C07822,2,Y,Negative
U1524,C01749,5,Y,Positive
U0345,C04645,1,Y,Negative
U1218,C06753,1,Y,Negative
U1649,C07438,1,N,Negative
U1300,C07244,3,N,Neutral
U1523,C07107,3,Y,Neutral
U1012,C15418,2,Y,Negative
U0108,C11967,5,Y,Positive
U0339,C12045,3,N,Neutral
U1388,C15480,1,N,Negative
U0965,C12559,4,Y,Positive
U0853,C05846,4,Y,Positive
U0129,C08566,3,N,Neutral
U0761,C12416,5,Y,Positive
U1523,C09499,3,Y,Neutral
U1192,C04769,2,Y,Negative
U0689,C00103,5,Y,Positive
U0966,C14224,5,Y,Positive
U0512,C00040,2,N,Negative
U1054,C08320,1,Y,Negative
U0817,C09250,4,Y,Positive
U1812,C17260,3,N,Neutral
U1053,C06096,4,Y,Positive
U1771,C02855,2,Y,Negative
U0216,C16504,2,N,Negative
U0661,C14012,4,Y,Positive
U1283,C13601,1,Y,Negative
U1610,C09749,4,Y,Positive
U1471,C15564,2,Y,Negative
U1912,C06849,1,Y,Negative
U1121,C08611,3,N,Neutral
U0264,C14898,5,Y,Positive
U0970,C17177,1,Y,Negative
U1241,C09826,4,Y,Positive
U0131,C15443,3,N,Neutral
U0758,C05487,5,Y,Positive
U0193,C00118,4,Y,Positive
U0750,C03446,3,Y,Neutral
U1598,C17598,1,Y,Negative
U1294,C11248,1,N,Negative
U0603,C11030,2,N,Negative
U0719,C12843,5,Y,Positive
U1915,C07370,2,N,Negative
U1157,C10691,2,N,Negative
U0281,C16573,4,Y,Positive
U1098,C11184,4,Y,Positive
U0227,C08527,2,Y,Negative
U1004,C00634,5,Y,Positive
U0291,C01715,5,Y,Positive
U0006,C06378,4,Y,Positive
U1182,C03201,1,N,Negative
U0396,C12531,4,Y,Positive
U0379,C00147,3,N,Neutral
U1152,C15111,5,Y,Positive
U0462,C06053,5,Y,Positive
U1491,C04053,3,N,Neutral
U0095,C09717,1,Y,Negative
U1944,C09891,5,Y,Positive
U1925,C04233,5,Y,Positive
U1531,C05145,2,Y,Negative
U1296,C05064,3,N,Neutral
U1596,C08667,1,N,Negative
U0803,C00870,2,Y,Negative
U0005,C04011,5,Y,Positive
U1273,C10944,2,Y,Negative
U1999,C05589,3,Y,Neutral
U1120,C08029,3,Y,Neutral
U0666,C00863,5,Y,Positive
U0489,C09204,5,Y,Positive
U0158,C12590,4,Y,Positive
U0590,C14892,1,Y,Negative
U1500,C14710,5,Y,Positive
U0906,C08909,3,N,Neutral
U0851,C06660,4,Y,Positive
U1998,C01487,2,Y,Negative
U1672,C08150,3,N,Neutral
U1388,C11009,1,N,Negative
U0218,C07315,2,N,Negative
U0876,C17085,3,N,Neutral
U0545,C01866,1,Y,Negative
U1140,C03245,4,Y,Positive
U0505,C14318,4,Y,Positive
U0839,C10131,1,N,Negative
U0193,C10594,4,Y,Positive
U1180,C16862,1,Y,Negative
U0793,C08605,4,Y,Positive
U1810,C10538,4,Y,Positive
U0255,C03683,2,N,Negative
U1743,C17660,3,Y,Neutral
U1436,C01693,5,Y,Positive
U0312,C09263,1,N,Negative
U1767,C01998,3,N,Neutral
U1262,C06430,2,N,Negative
U1773,C01911,2,N,Negative
U0300,C05253,2,Y,Negative
U1795,C02376,3,N,Neutral
U1564,C12419,1,N,Negative
U1111,C04867,2,N,Negative
U1979,C00993,1,Y,Negative
U0981,C14090,5,Y,Positive
U1195,C11260,2,N,Negative
U0776,C08027,1,N,Negative
U0947,C16354,5,Y,Positive
U0271,C00805,4,Y,Positive
U1963,C10696,5,Y,Positive
U0993,C14559,1,Y,Negative
U0040,C03294,4,Y,Positive
U1255,C10101,2,N,Negative
U0612,C13752,5,Y,Positive
U1491,C12511,2,Y,Negative
U0339,C00478,1,N,Negative
U0872,C10642,5,Y,Positive
U1204,C16462,5,Y,Positive
U1521,C01688,3,Y,Neutral
U0956,C11252,2,Y,Negative
U1097,C16907,4,Y,Positive
U1503,C10941,1,N,Negative
U0243,C08139,3,N,Neutral
U1389,C11079,3,N,Neutral
U1398,C11598,5,Y,Positive
U0031,C15630,3,N,Neutral
U1886,C15217,2,N,Negative
U1338,C13009,1,N,Negative
U0127,C06160,1,Y,Negative
U0951,C13960,3,Y,Neutral
U0345,C11036,3,Y,Neutral
U0458,C16951,5,Y,Positive
U1368,C12042,4,Y,Positive
U1617,C05721,5,Y,Positive
U1289,C13338,1,N,Negative
U0099,C04268,1,N,Negative
U1279,C07507,5,Y,Positive
U1947,C06368,4,Y,Positive
U0212,C01902,1,N,Negative
U1435,C10805,5,Y,Positive
U1497,C09302,3,Y,Neutral
U0810,C07435,4,Y,Positive
U0730,C10308,2,Y,Negative
U1958,C10010,5,Y,Positive
U0583,C16445,4,Y,Positive
U0073,C01665,4,Y,Positive
U1643,C17518,2,Y,Negative
U0092,C13053,5,Y,Positive
U1708,C13610,5,Y,Positive
U0652,C00168,1,Y,Negative
U1210,C11764,4,Y,Positive
U0164,C16550,4,Y,Positive
U0581,C00992,1,N,Negative
U1109,C06746,2,N,Negative
U1701,C16805,4,Y,Positive
U1908,C08006,2,Y,Negative
U1441,C16835,3,N,Neutral
U1432,C12704,1,Y,Negative
U1743,C11000,3,N,Neutral
U1945,C03466,2,Y,Negative
U1373,C17580,2,N,Negative
U1170,C10127,4,Y,Positive
U0348,C15582,1,Y,Negative
U0205,C11414,4,Y,Positive
U1075,C05364,4,Y,Positive
U1747,C14442,4,Y,Positive
U1643,C10400,2,N,Negative
U1990,C02949,1,N,Negative
U1104,C12644,3,N,Neutral
U1100,C07233,5,Y,Positive
U1180,C13220,2,N,Negative
U0302,C17320,1,Y,Negative
U1638,C16004,2,N,Negative
U0439,C13386,5,Y,Positive
U1632,C07051,4,Y,Positive
U0357,C07728,1,Y,Negative
U0886,C15826,3,N,Neutral
U1588,C11804,1,Y,Negative
U1247,C05228,2,Y,Negative
U0228,C06374,4,Y,Positive
U0821,C02423,4,Y,Positive
U0977,C05701,3,N,Neutral
U1055,C05225,1,Y,Negative
U1229,C00488,5,Y,Positive
U1913,C17586,4,Y,Positive
U1036,C14016,4,Y,Positive
U0493,C17384,2,Y,Negative
U0384,C01696,2,N,Negative
U0101,C00582,1,N,Negative
U0299,C01562,2,Y,Negative
U1957,C15071,3,N,Neutral
U1701,C15814,5,Y,Positive
U1782,C14095,3,N,Neutral
U0390,C09014,1,Y,Negative
U0001,C06241,5,Y,Positive
U0159,C04438,4,Y,Positive
U1853,C03978,3,N,Neutral
U1574,C06753,4,Y,Positive
U0364,C16751,5,Y,Positive
U0558,C11795,3,N,Neutral
U0277,C14731,5,Y,Positive
U1453,C09565,2,N,Negative
U1599,C08903,3,N,Neutral
U0555,C06391,5,Y,Positive
U1859,C04990,4,Y,Positive
U1626,C07365,2,Y,Negative
U1393,C12517,2,N,Negative
U1972,C05862,5,Y,Positive
U1668,C09925,4,Y,Positive
U0507,C05942,1,Y,Negative
U0731,C05892,2,Y,Negative
U1949,C13811,4,Y,Positive
U1390,C15636,4,Y,Positive
U1505,C12367,5,Y,Positive
U0872,C13896,1,Y,Negative
U1466,C06747,4,Y,Positive
U0712,C02280,4,Y,Positive
U0335,C07812,3,Y,Neutral
U1038,C12489,3,Y,Neutral
U1391,C17202,5,Y,Positive
U1696,C13573,1,N,Negative
U1284,C12505,2,N,Negative
U1268,C09691,2,Y,Negative
U1242,C15466,3,N,Neutral
U0645,C02102,3,Y,Neutral
U1124,C13462,3,Y,Neutral
U0850,C08917,5,Y,Positive
U0848,C11422,3,Y,Neutral
U0531,C00441,4,Y,Positive
U1239,C08987,5,Y,Positive
U1579,C00574,5,Y,Positive
U1505,C16899,1,N,Negative
U1255,C16654,2,Y,Negative
U1017,C15490,2,N,Negative
U0636,C14912,3,Y,Neutral
U0042,C06692,2,N,Negative
U0108,C06331,5,Y,Positive
U0021,C11807,2,N,Negative
U1180,C11065,1,Y,Negative
U1689,C15339,5,Y,Positive
U1862,C15828,2,Y,Negative
U1424,C05662,1,N,Negative
U0218,C05250,2,N,Negative
U0259,C02083,2,N,Negative
U0503,C02917,2,N,Negative
U0468,C15927,3,Y,Neutral
U1209,C15993,3,N,Neutral
U0860,C00446,5,Y,Positive
U1524,C01356,4,Y,Positive
U1718,C04455,1,Y,Negative
U1171,C07901,2,Y,Negative
U1763,C00494,3,N,Neutral
U1149,C04770,2,Y,Negative
U0034,C09094,4,Y,Positive
U0274,C08439,3,N,Neutral
U0720,C13813,1,N,Negative
U1040,C10919,1,Y,Negative
U1265,C16675,5,Y,Positive
U1179,C00941,3,Y,Neutral
U1968,C12908,5,Y,Positive
U0870,C09543,4,Y,Positive
U0160,C08958,4,Y,Positive
U1905,C10277,3,N,Neutral
U1978,C10839,2,Y,Negative
U1157,C14025,1,N,Negative
U0338,C05001,5,Y,Positive
U0967,C11666,2,Y,Negative
U1386,C16475,4,Y,Positive
U0952,C07103,1,Y,Negative
U0863,C12127,2,Y,Negative
U0302,C07190,2,Y,Negative
U0805,C11486,5,Y,Positive
U1931,C06213,2,Y,Negative
U0589,C10003,2,Y,Negative
U0917,C14069,4,Y,Positive
U1713,C03226,3,N,Neutral
U1813,C04385,3,Y,Neutral
U0110,C16293,3,Y,Neutral
U0676,C08949,1,Y,Negative
U0614,C14610,5,Y,Positive
U1128,C16323,1,N,Negative
U0658,C04012,3,N,Neutral
U0368,C16309,4,Y,Positive
U0442,C11268,3,Y,Neutral
U1647,C00934,5,Y,Positive
U0683,C15477,2,Y,Negative
U0829,C02379,2,N,Negative
U0249,C01755,1,Y,Negative
U1596,C16865,1,Y,Negative
U1359,C13287,4,Y,Positive
U0869,C10666,3,N,Neutral
U1797,C05812,4,Y,Positive
U1837,C06001,3,N,Neutral
U1591,C00601,3,N,Neutral
U1374,C02394,2,Y,Negative
U1369,C04595,5,Y,Positive
U1633,C17446,1,Y,Negative
U1400,C07432,2,Y,Negative
U0117,C05680,2,Y,Negative
U1392,C08381,1,N,Negative
U0054,C17326,1,N,Negative
U1645,C04365,5,Y,Positive
U0111,C00485,3,N,Neutral
U1329,C13538,5,Y,Positive
U1009,C17759,5,Y,Positive
U0497,C04221,4,Y,Positive
U1928,C13744,4,Y,Positive
U1124,C05854,2,N,Negative
U1577,C09096,1,Y,Negative
U1667,C08186,2,N,Negative
U1747,C10082,4,Y,Positive
U0904,C11251,5,Y,Positive
U0077,C05147,3,N,Neutral
U0810,C10754,5,Y,Positive
U0998,C06539,1,Y,Negative
U0223,C08673,1,N,Negative
U0706,C01315,3,N,Neutral
U1955,C08147,3,N,Neutral
U0526,C00487,1,Y,Negative
U1061,C02740,1,N,Negative
U1076,C10806,4,Y,Positive
U1572,C14400,5,Y,Positive
U0832,C14108,1,Y,Negative
U1430,C01501,2,N,Negative
U0898,C10832,4,Y,Positive
U0676,C06225,2,Y,Negative
U0795,C16259,3,N,Neutral
U1898,C13781,4,Y,Positive
U0865,C02749,4,Y,Positive
U0706,C15623,1,N,Negative
U0601,C12983,2,N,Negative
U0534,C10516,2,N,Negative
U1772,C00778,1,Y,Negative
U1334,C05676,3,Y,Neutral
U1373,C10725,5,Y,Positive
U0023,C16808,5,Y,Positive
U0375,C11509,5,Y,Positive
U1527,C14277,4,Y,Positive
U0012,C12614,2,N,Negative
U0627,C01237,1,Y,Negative
U0073,C14908,1,Y,Negative
U0711,C13045,1,N,Negative
U0829,C13400,5,Y,Positive
U0671,C12402,2,Y,Negative
U1572,C00152,4,Y,Positive
U0340,C11527,3,N,Neutral
U0460,C08813,5,Y,Positive
U1714,C10097,2,N,Negative
U1514,C16598,3,Y,Neutral
U1239,C08324,5,Y,Positive
U0201,C03040,3,N,Neutral
U1895,C05301,1,Y,Negative
U0209,C03127,3,N,Neutral
U1299,C17139,4,Y,Positive
U0220,C04489,5,Y,Positive
U1137,C09183,3,N,Neutral
U0457,C06908,4,Y,Positive
U0735,C15080,1,N,Negative
U1348,C02481,1,Y,Negative
U0876,C03362,1,N,Negative
U0916,C05396,2,N,Negative
U1086,C14372,1,Y,Negative
U0968,C14126,5,Y,Positive
U0529,C00262,2,Y,Negative
U0299,C09400,5,Y,Positive
U1959,C12039,1,N,Negative
U1608,C10159,2,Y,Negative
U0377,C10386,1,Y,Negative
U1973,C04939,1,N,Negative
U1890,C11616,5,Y,Positive
U1916,C04985,2,Y,Negative
U0610,C07925,4,Y,Positive
U0687,C06045,5,Y,Positive
U0179,C05966,3,Y,Neutral
U1594,C02447,4,Y,Positive
U1727,C05428,5,Y,Positive
U0802,C02867,5,Y,Positive
U1157,C15244,2,N,Negative
U0904,C05618,1,Y,Negative
U1534,C04899,5,Y,Positive
U1980,C17430,3,Y,Neutral
U1673,C17410,1,Y,Negative
U0827,C14793,3,N,Neutral
U1191,C04112,3,Y,Neutral
U0241,C11226,5,Y,Positive
U1875,C03872,4,Y,Positive
U1356,C15325,5,Y,Positive
U1011,C13328,4,Y,Positive
U1545,C17032,2,N,Negative
U0686,C03663,4,Y,Positive
U0625,C12557,5,Y,Positive
U1850,C10857,4,Y,Positive
U1694,C16637,5,Y,Positive
U1252,C12982,2,Y,Negative
U0597,C12592,3,Y,Neutral
U1614,C06629,1,N,Negative
U0944,C13623,2,Y,Negative
U1174,C09055,1,N,Negative
U1100,C06182,4,Y,Positive
U1530,C00424,1,Y,Negative
U1872,C04822,5,Y,Positive
U0774,C04302,5,Y,Positive
U0231,C14755,2,N,Negative
U1394,C10947,5,Y,Positive
U0379,C01651,3,Y,Neutral
U1055,C11845,3,N,Neutral
U0489,C10839,3,N,Neutral
U0969,C07780,5,Y,Positive
U1918,C15006,1,N,Negative
U0178,C05691,4,Y,Positive
U1390,C16691,4,Y,Positive
U0842,C04447,3,N,Neutral
U1731,C06699,2,Y,Negative
U0171,C16589,5,Y,Positive
U1291,C13864,5,Y,Positive
U1814,C07636,1,Y,Negative
U0034,C07354,3,N,Neutral
U0158,C09352,5,Y,Positive
U1039,C16942,4,Y,Positive
U1505,C04525,4,Y,Positive
U1763,C13620,1,Y,Negative
U1135,C10093,3,N,Neutral
U0535,C06149,4,Y,Positive
U1627,C05472,4,Y,Positive
U1648,C16043,5,Y,Positive
U1891,C03009,1,N,Negative
U1175,C05429,4,Y,Positive
U1171,C11669,5,Y,Positive
U0604,C11343,5,Y,Positive
U1465,C03281,2,Y,Negative
U0392,C17117,2,N,Negative
U1039,C15900,2,N,Negative
U0546,C01393,1,Y,Negative
U0367,C04992,3,Y,Neutral
U0904,C09956,2,Y,Negative
U0229,C14939,2,Y,Negative
U0382,C13224,5,Y,Positive
U0595,C09386,1,Y,Negative
U0090,C03578,4,Y,Positive
U1262,C08218,4,Y,Positive
U0864,C05907,4,Y,Positive
U1641,C00208,5,Y,Positive
U0270,C13224,1,Y,Negative
U1720,C13351,2,Y,Negative
U1569,C12142,4,Y,Positive
U1647,C08865,1,N,Negative
U1179,C11694,5,Y,Positive
U1380,C03197,3,N,Neutral
U1212,C08584,3,N,Neutral
U0687,C14193,5,Y,Positive
U1870,C06507,5,Y,Positive
U1945,C13493,2,Y,Negative
U0491,C08805,2,Y,Negative
U0015,C15082,3,N,Neutral
U1455,C00245,1,Y,Negative
U0447,C11742,3,Y,Neutral
U1826,C06273,1,N,Negative
U0289,C04166,4,Y,Positive
U0409,C09702,4,Y,Positive
U1816,C17294,2,N,Negative
U0512,C04922,4,Y,Positive
U0847,C01735,4,Y,Positive
U0911,C17041,3,Y,Neutral
U0857,C13234,4,Y,Positive
U0374,C13526,1,N,Negative
U1353,C16005,2,N,Negative
U0460,C17518,5,Y,Positive
U0763,C14464,4,Y,Positive
U0137,C08395,3,N,Neutral
U1028,C17073,2,Y,Negative
U1462,C07213,5,Y,Positive
U1413,C16238,4,Y,Positive
U0929,C09165,2,N,Negative
U0864,C02882,5,Y,Positive
U1739,C17000,3,N,Neutral
U1036,C10687,3,N,Neutral
U1291,C01668,2,N,Negative
U0627,C06379,4,Y,Positive
U0465,C09971,2,Y,Negative
U1058,C07854,5,Y,Positive
U1051,C05228,4,Y,Positive
U1536,C08187,1,N,Negative
U0498,C06356,3,Y,Neutral
U0946,C11150,3,N,Neutral
U0401,C09474,4,Y,Positive
U1337,C10863,5,Y,Positive
U0186,C11057,3,N,Neutral
U1082,C14990,3,N,Neutral
U0543,C04004,3,N,Neutral
U1775,C05644,5,Y,Positive
U0033,C00683,3,Y,Neutral
U1873,C17132,2,N,Negative
U1281,C03662,2,Y,Negative
U0182,C05396,4,Y,Positive
U0112,C16188,4,Y,Positive
U1588,C07549,2,Y,Negative
U1665,C01365,5,Y,Positive
U0031,C10806,2,Y,Negative
U0248,C09580,1,N,Negative
U1946,C04202,1,N,Negative
U1277,C03389,1,N,Negative
U0375,C09584,1,Y,Negative
U1873,C00903,2,Y,Negative
U1000,C14283,2,N,Negative
U0531,C11230,2,Y,Negative
U1724,C03019,5,Y,Positive
U0920,C08309,1,Y,Negative
U0396,C08328,4,Y,Positive
U0956,C07944,1,N,Negative
U0430,C10656,3,Y,Neutral
U0051,C17194,3,N,Neutral
U0710,C01346,3,Y,Neutral
U0260,C00232,2,N,Negative
U0195,C09843,2,N,Negative
U1753,C16409,2,N,Negative
U0904,C07452,4,Y,Positive
U1037,C03650,1,Y,Negative
U0125,C02503,5,Y,Positive
U1890,C07189,3,N,Neutral
U0775,C14635,4,Y,Positive
U0894,C16983,4,Y,Positive
U0088,C14329,5,Y,Positive
U1166,C09244,5,Y,Positive
U1093,C06052,3,N,Neutral
U0965,C09609,4,Y,Positive
U0106,C09459,5,Y,Positive
U1742,C07745,1,Y,Negative
U0679,C09536,3,Y,Neutral
U0767,C06595,1,Y,Negative
U1880,C01810,5,Y,Positive
U0841,C07610,4,Y,Positive
U0049,C00540,2,N,Negative
U0766,C04153,1,Y,Negative
U0789,C02029,1,Y,Negative
U0399,C13448,4,Y,Positive
U0878,C03545,3,Y,Neutral
U1047,C16764,5,Y,Positive
U1294,C11480,2,N,Negative
U1561,C10498,3,N,Neutral
U0298,C16596,5,Y,Positive
U1592,C14717,4,Y,Positive
U1755,C01124,5,Y,Positive
U0687,C07138,5,Y,Positive
U0689,C02779,4,Y,Positive
U1925,C17676,2,Y,Negative
U1375,C14876,1,Y,Negative
U0790,C13534,5,Y,Positive
U1685,C03787,3,Y,Neutral
U1029,C11076,5,Y,Positive
U1255,C01809,4,Y,Positive
U1306,C09273,5,Y,Positive
U0722,C11488,5,Y,Positive
U1991,C13234,4,Y,Positive
U1322,C07141,1,N,Negative
U0762,C15887,5,Y,Positive
U1992,C10357,5,Y,Positive
U0536,C06785,1,Y,Negative
U1445,C02234,4,Y,Positive
U1862,C03546,1,N,Negative
U1642,C10351,3,Y,Neutral
U0914,C00063,2,N,Negative
U0916,C11750,4,Y,Positive
U0855,C15232,4,Y,Positive
U1891,C02018,3,Y,Neutral
U0983,C08038,2,N,Negative
U1963,C06581,1,Y,Negative
U1716,C13076,2,N,Negative
U1711,C17140,5,Y,Positive
U0201,C09147,5,Y,Positive
U1978,C08508,4,Y,Positive
U0712,C13406,1,Y,Negative
U0408,C13237,3,N,Neutral
U0689,C05839,5,Y,Positive
U1345,C01180,3,N,Neutral
U0535,C10763,4,Y,Positive
U1023,C06406,1,N,Negative
U1886,C02058,1,Y,Negative
U0177,C01934,1,N,Negative
U0701,C02305,2,N,Negative
U1904,C11263,1,Y,Negative
U0835,C08462,2,Y,Negative
U0980,C00707,1,Y,Negative
U0920,C04564,4,Y,Positive
U0833,C11239,4,Y,Positive
U1427,C06173,5,Y,Positive
U1021,C10022,3,Y,Neutral
U1643,C10749,3,Y,Neutral
U0518,C15280,4,Y,Positive
U0823,C15007,2,N,Negative
U1013,C17224,5,Y,Positive
U0575,C06431,3,N,Neutral
U1616,C13035,3,N,Neutral
U0074,C00465,1,Y,Negative
U1625,C06974,5,Y,Positive
U1805,C07595,5,Y,Positive
U1861,C04405,4,Y,Positive
U1825,C12455,4,Y,Positive
U0438,C10244,2,N,Negative
U1675,C05833,4,Y,Positive
U0479,C10040,2,N,Negative
U0375,C02168,2,Y,Negative
U0416,C09754,1,N,Negative
U0910,C12735,2,N,Negative
U1944,C04553,3,N,Neutral
