User_ID,Subscription_Type,Monthly_Fee,Renewal_Status,Churn_Flag
U0369,Basic,299,Renewed,0
U0370,Premium,599,Not Renewed,1
U0371,Free Trial,0,Not Renewed,1
U0372,Free Trial,0,Renewed,0
U0373,Free Trial,0,Renewed,0
U0374,Premium,599,Renewed,0
U0375,Premium,599,Renewed,0
U0376,Premium,599,Renewed,0
U0377,Free Trial,0,Renewed,0
U0378,Free Trial,0,Renewed,0
U0379,Premium,599,Renewed,0
U0380,Basic,299,Not Renewed,1
U0381,Basic,299,Renewed,0
U0382,Basic,299,Renewed,0
U0383,Premium,599,Renewed,0
U0384,Free Trial,0,Not Renewed,1
U0385,Premium,599,Renewed,0
U0386,Premium,599,Renewed,0
U0387,Basic,299,Not Renewed,1
U0388,Free Trial,0,Not Renewed,1
U0389,Free Trial,0,Not Renewed,1
U0390,Free Trial,0,Not Renewed,1
U0391,Basic,299,Renewed,0
U0392,Basic,299,Renewed,0
U0393,Basic,299,Renewed,0
U0394,Basic,299,Not Renewed,1
U0395,Premium,599,Renewed,0
U0396,Free Trial,0,Not Renewed,1
U0397,Premium,599,Renewed,0
U0398,Free Trial,0,Not Renewed,1
U0399,Premium,599,Renewed,0
U0400,Free Trial,0,Not Renewed,1
U0401,Premium,599,Renewed,0
U0402,Free Trial,0,Not Renewed,1
U0403,Premium,599,Renewed,0
U0404,Free Trial,0,Not Renewed,1
U0405,Basic,299,Not Renewed,1
U0406,Free Trial,0,Not Renewed,1
U0407,Premium,599,Renewed,0
U0408,Basic,299,Renewed,0
U0409,Free Trial,0,Not Renewed,1
U0410,Free Trial,0,Not Renewed,1
U0411,Premium,599,Renewed,0
U0412,Basic,299,Not Renewed,1
U0413,Premium,599,Renewed,0
U0414,Basic,299,Renewed,0
U0415,Free Trial,0,Not Renewed,1
U0416,Free Trial,0,Not Renewed,1
U0417,Premium,599,Renewed,0
U0418,Basic,299,Not Renewed,1
U0419,Free Trial,0,Not Renewed,1
U0420,Basic,299,Not Renewed,1
U0421,Premium,599,Renewed,0
U0422,Basic,299,Renewed,0
U0423,Basic,299,Not Renewed,1
U0424,Premium,599,Renewed,0
U0425,Free Trial,0,Not Renewed,1
U0426,Premium,599,Renewed,0
U0427,Premium,599,Not Renewed,1
U0428,Free Trial,0,Renewed,0
U0429,Free Trial,0,Renewed,0
U0430,Premium,599,Renewed,0
U0431,Premium,599,Not Renewed,1
U0432,Premium,599,Renewed,0
U0433,Premium,599,Not Renewed,1
U0434,Basic,299,Renewed,0
U0435,Premium,599,Not Renewed,1
U0436,Basic,299,Renewed,0
U0437,Basic,299,Renewed,0
U0438,Premium,599,Renewed,0
U0439,Premium,599,Renewed,0
U0440,Premium,599,Renewed,0
U0441,Premium,599,Renewed,0
U0442,Premium,599,Renewed,0
U0443,Free Trial,0,Not Renewed,1
U0444,Premium,599,Renewed,0
U0445,Free Trial,0,Not Renewed,1
U0446,Premium,599,Not Renewed,1
U0447,Premium,599,Renewed,0
U0448,Basic,299,Not Renewed,1
U0449,Free Trial,0,Not Renewed,1
U0450,Free Trial,0,Not Renewed,1
U0451,Free Trial,0,Not Renewed,1
U0452,Premium,599,Not Renewed,1
U0453,Free Trial,0,Not Renewed,1
U0454,Premium,599,Renewed,0
U0455,Basic,299,Renewed,0
U0456,Free Trial,0,Not Renewed,1
U0457,Free Trial,0,Renewed,0
U0458,Premium,599,Not Renewed,1
U0459,Free Trial,0,Renewed,0
U0460,Premium,599,Renewed,0
U0461,Free Trial,0,Not Renewed,1
U0462,Free Trial,0,Renewed,0
U0463,Premium,599,Renewed,0
U0464,Basic,299,Renewed,0
U0465,Basic,299,Renewed,0
U0466,Free Trial,0,Not Renewed,1
U0467,Premium,599,Renewed,0
U0468,Basic,299,Renewed,0
U0469,Basic,299,Not Renewed,1
U0470,Free Trial,0,Renewed,0
U0471,Premium,599,Not Renewed,1
U0472,Premium,599,Renewed,0
U0473,Basic,299,Not Renewed,1
U0474,Basic,299,Renewed,0
U0475,Basic,299,Not Renewed,1
U0476,Premium,599,Renewed,0
U0477,Free Trial,0,Not Renewed,1
U0478,Free Trial,0,Not Renewed,1
U0479,Free Trial,0,Not Renewed,1
U0480,Premium,599,Renewed,0
U0481,Basic,299,Renewed,0
U0482,Premium,599,Renewed,0
U0483,Free Trial,0,Renewed,0
U0484,Premium,599,Renewed,0
U0485,Basic,299,Not Renewed,1
U0486,Basic,299,Not Renewed,1
U0487,Free Trial,0,Not Renewed,1
U0488,Premium,599,Renewed,0
U0489,Free Trial,0,Not Renewed,1
U0490,Premium,599,Not Renewed,1
U0491,Premium,599,Renewed,0
U0492,Basic,299,Renewed,0
U0493,Premium,599,Not Renewed,1
U0494,Premium,599,Renewed,0
U0495,Premium,599,Renewed,0
U0496,Basic,299,Not Renewed,1
U0497,Free Trial,0,Not Renewed,1
U0498,Basic,299,Renewed,0
U0499,Basic,299,Renewed,0
U0500,Free Trial,0,Not Renewed,1
U0501,Premium,599,Renewed,0
U0502,Premium,599,Not Renewed,1
U0503,Free Trial,0,Renewed,0
U0504,Free Trial,0,Renewed,0
U0505,Free Trial,0,Not Renewed,1
U0506,Premium,599,Renewed,0
U0507,Free Trial,0,Renewed,0
U0508,Basic,299,Not Renewed,1
U0509,Free Trial,0,Not Renewed,1
U0510,Premium,599,Renewed,0
U0511,Free Trial,0,Not Renewed,1
U0512,Basic,299,Renewed,0
U0513,Premium,599,Renewed,0
U0514,Free Trial,0,Not Renewed,1
U0515,Free Trial,0,Not Renewed,1
U0516,Free Trial,0,Not Renewed,1
U0517,Basic,299,Not Renewed,1
U0518,Basic,299,Renewed,0
U0519,Premium,599,Not Renewed,1
U0520,Basic,299,Not Renewed,1
U0521,Free Trial,0,Not Renewed,1
U0522,Premium,599,Renewed,0
U0523,Free Trial,0,Not Renewed,1
U0524,Premium,599,Renewed,0
U0525,Free Trial,0,Renewed,0
U0526,Premium,599,Renewed,0
U0527,Premium,599,Renewed,0
U0528,Premium,599,Renewed,0
U0529,Basic,299,Not Renewed,1
U0530,Free Trial,0,Not Renewed,1
U0531,Basic,299,Not Renewed,1
U0532,Basic,299,Not Renewed,1
U0533,Basic,299,Renewed,0
U0534,Free Trial,0,Renewed,0
U0535,Premium,599,Renewed,0
U0536,Basic,299,Renewed,0
U0537,Basic,299,Not Renewed,1
U0538,Free Trial,0,Not Renewed,1
U0539,Premium,599,Renewed,0
U0540,Premium,599,Renewed,0
U0541,Premium,599,Renewed,0
U0542,Basic,299,Not Renewed,1
U0543,Basic,299,Renewed,0
U0544,Premium,599,Renewed,0
U0545,Free Trial,0,Renewed,0
U0546,Premium,599,Renewed,0
U0547,Free Trial,0,Not Renewed,1
U0548,Basic,299,Not Renewed,1
U0549,Free Trial,0,Not Renewed,1
U0550,Basic,299,Renewed,0
U0551,Basic,299,Renewed,0
U0552,Premium,599,Renewed,0
U0553,Free Trial,0,Not Renewed,1
U0554,Premium,599,Not Renewed,1
U0555,Premium,599,Renewed,0
U0556,Basic,299,Renewed,0
U0557,Premium,599,Renewed,0
U0558,Premium,599,Renewed,0
U0559,Basic,299,Renewed,0
U0560,Basic,299,Renewed,0
U0561,Free Trial,0,Not Renewed,1
U0562,Basic,299,Renewed,0
U0563,Premium,599,Renewed,0
U0564,Free Trial,0,Not Renewed,1
U0565,Premium,599,Renewed,0
U0566,Basic,299,Not Renewed,1
U0567,Free Trial,0,Not Renewed,1
U0568,Premium,599,Renewed,0
U0569,Free Trial,0,Renewed,0
U0570,Premium,599,Renewed,0
U0571,Free Trial,0,Renewed,0
U0572,Premium,599,Renewed,0
U0573,Free Trial,0,Not Renewed,1
U0574,Basic,299,Not Renewed,1
U0575,Premium,599,Renewed,0
U0576,Basic,299,Renewed,0
U0577,Premium,599,Renewed,0
U0578,Basic,299,Not Renewed,1
U0579,Premium,599,Renewed,0
U0580,Premium,599,Renewed,0
U0581,Premium,599,Renewed,0
U0582,Free Trial,0,Renewed,0
U0583,Premium,599,Renewed,0
U0584,Free Trial,0,Not Renewed,1
U0585,Basic,299,Not Renewed,1
U0586,Basic,299,Not Renewed,1
U0587,Free Trial,0,Not Renewed,1
U0588,Free Trial,0,Not Renewed,1
U0589,Free Trial,0,Not Renewed,1
U0590,Basic,299,Not Renewed,1
U0591,Premium,599,Not Renewed,1
U0592,Free Trial,0,Not Renewed,1
U0593,Free Trial,0,Not Renewed,1
U0594,Premium,599,Renewed,0
U0595,Premium,599,Renewed,0
U0596,Free Trial,0,Renewed,0
U0597,Basic,299,Renewed,0
U0598,Basic,299,Not Renewed,1
U0599,Premium,599,Renewed,0
U0600,Premium,599,Renewed,0
U0601,Free Trial,0,Not Renewed,1
U0602,Free Trial,0,Not Renewed,1
U0603,Free Trial,0,Not Renewed,1
U0604,Premium,599,Not Renewed,1
U0605,Basic,299,Not Renewed,1
U0606,Premium,599,Renewed,0
U0607,Premium,599,Renewed,0
U0608,Premium,599,Renewed,0
U0609,Basic,299,Not Renewed,1
U0610,Basic,299,Renewed,0
U0611,Premium,599,Renewed,0
U0612,Premium,599,Renewed,0
U0613,Free Trial,0,Renewed,0
U0614,Premium,599,Not Renewed,1
U0615,Free Trial,0,Not Renewed,1
U0616,Free Trial,0,Not Renewed,1
U0617,Premium,599,Not Renewed,1
U0618,Free Trial,0,Not Renewed,1
U0619,Free Trial,0,Not Renewed,1
U0620,Premium,599,Renewed,0
U0621,Free Trial,0,Renewed,0
U0622,Premium,599,Not Renewed,1
U0623,Basic,299,Not Renewed,1
U0624,Basic,299,Not Renewed,1
U0625,Premium,599,Not Renewed,1
U0626,Basic,299,Not Renewed,1
U0627,Premium,599,Not Renewed,1
U0628,Premium,599,Renewed,0
U0629,Basic,299,Renewed,0
U0630,Premium,599,Renewed,0
U0631,Premium,599,Renewed,0
U0632,Premium,599,Renewed,0
U0633,Basic,299,Not Renewed,1
U0634,Premium,599,Not Renewed,1
U0635,Free Trial,0,Renewed,0
U0636,Basic,299,Not Renewed,1
U0637,Basic,299,Not Renewed,1
U0638,Basic,299,Renewed,0
U0639,Free Trial,0,Not Renewed,1
U0640,Free Trial,0,Not Renewed,1
U0641,Basic,299,Renewed,0
U0642,Premium,599,Renewed,0
U0643,Basic,299,Not Renewed,1
U0644,Basic,299,Not Renewed,1
U0645,Premium,599,Renewed,0
U0646,Premium,599,Renewed,0
U0647,Basic,299,Renewed,0
U0648,Premium,599,Not Renewed,1
U0649,Premium,599,Renewed,0
U0650,Free Trial,0,Renewed,0
U0651,Free Trial,0,Not Renewed,1
U0652,Free Trial,0,Renewed,0
U0653,Premium,599,Renewed,0
U0654,Premium,599,Renewed,0
U0655,Free Trial,0,Not Renewed,1
U0656,Premium,599,Renewed,0
U0657,Basic,299,Not Renewed,1
U0658,Premium,599,Renewed,0
U0659,Basic,299,Renewed,0
U0660,Basic,299,Renewed,0
U0661,Premium,599,Renewed,0
U0662,Premium,599,Not Renewed,1
U0663,Free Trial,0,Not Renewed,1
U0664,Premium,599,Renewed,0
U0665,Premium,599,Not Renewed,1
U0666,Basic,299,Renewed,0
U0667,Free Trial,0,Not Renewed,1
U0668,Basic,299,Renewed,0
U0669,Premium,599,Renewed,0
U0670,Free Trial,0,Not Renewed,1
U0671,Premium,599,Not Renewed,1
U0672,Free Trial,0,Not Renewed,1
U0673,Basic,299,Not Renewed,1
U0674,Premium,599,Renewed,0
U0675,Free Trial,0,Not Renewed,1
U0676,Free Trial,0,Not Renewed,1
U0677,Free Trial,0,Not Renewed,1
U0678,Premium,599,Renewed,0
U0679,Basic,299,Renewed,0
U0680,Basic,299,Not Renewed,1
U0681,Premium,599,Renewed,0
U0682,Free Trial,0,Not Renewed,1
U0683,Premium,599,Renewed,0
U0684,Free Trial,0,Not Renewed,1
U0685,Basic,299,Renewed,0
U0686,Free Trial,0,Not Renewed,1
U0687,Basic,299,Renewed,0
U0688,Free Trial,0,Not Renewed,1
U0689,Basic,299,Renewed,0
U0690,Basic,299,Renewed,0
U0691,Free Trial,0,Not Renewed,1
U0692,Basic,299,Not Renewed,1
U0693,Basic,299,Not Renewed,1
U0694,Free Trial,0,Not Renewed,1
U0695,Free Trial,0,Not Renewed,1
U0696,Free Trial,0,Not Renewed,1
U0697,Basic,299,Not Renewed,1
U0698,Free Trial,0,Renewed,0
U0699,Premium,599,Renewed,0
U0700,Premium,599,Renewed,0
U0701,Basic,299,Renewed,0
U0702,Free Trial,0,Renewed,0
U0703,Premium,599,Renewed,0
U0704,Free Trial,0,Not Renewed,1
U0705,Premium,599,Not Renewed,1
U0706,Premium,599,Renewed,0
U0707,Premium,599,Renewed,0
U0708,Free Trial,0,Renewed,0
U0709,Free Trial,0,Renewed,0
U0710,Free Trial,0,Not Renewed,1
U0711,Premium,599,Renewed,0
U0712,Free Trial,0,Not Renewed,1
U0713,Premium,599,Renewed,0
U0714,Basic,299,Renewed,0
U0715,Basic,299,Renewed,0
U0716,Basic,299,Not Renewed,1
U0717,Basic,299,Not Renewed,1
U0718,Free Trial,0,Not Renewed,1
U0719,Basic,299,Renewed,0
U0720,Free Trial,0,Renewed,0
U0721,Premium,599,Renewed,0
U0722,Premium,599,Not Renewed,1
U0723,Basic,299,Not Renewed,1
U0724,Basic,299,Not Renewed,1
U0725,Free Trial,0,Not Renewed,1
U0726,Basic,299,Not Renewed,1
U0727,Free Trial,0,Renewed,0
U0728,Basic,299,Renewed,0
U0729,Basic,299,Not Renewed,1
U0730,Basic,299,Not Renewed,1
U0731,Basic,299,Renewed,0
U0732,Basic,299,Not Renewed,1
U0733,Basic,299,Not Renewed,1
U0734,Free Trial,0,Not Renewed,1
U0735,Premium,599,Not Renewed,1
U0736,Free Trial,0,Not Renewed,1
U0737,Free Trial,0,Not Renewed,1
U0738,Basic,299,Not Renewed,1
U0739,Free Trial,0,Not Renewed,1
U0740,Premium,599,Renewed,0
U0741,Basic,299,Renewed,0
U0742,Basic,299,Renewed,0
U0743,Free Trial,0,Not Renewed,1
U0744,Basic,299,Renewed,0
U0745,Basic,299,Renewed,0
U0746,Free Trial,0,Not Renewed,1
U0747,Premium,599,Renewed,0
U0748,Premium,599,Renewed,0
U0749,Free Trial,0,Not Renewed,1
U0750,Premium,599,Renewed,0
